% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 16 2021, 09:11"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),cw_eh_ratio,"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.18,1.6666666666666667,0,10,0.9949136092071206,1800,6,60,6538.457818706511,2476.1060637748487,1685.8441164040196,-181728.90286451066,175190.42892026872,500,180,-1.68991684586082E8,10
0.18,1.6666666666666667,0,50,0.9141334441991027,1800,6,60,137937.91533439374,40434.65982520888,4925.783956605894,-3169965.417050531,3032027.8778034146,500,180,-5.846047019695172E8,50
0.18,1.6666666666666667,0,100,0.8711302963490528,1800,6,60,503128.9234027013,82623.46684493746,6970.412675932674,-8679599.357970439,8176498.340410013,500,180,-7.971993852264695E8,100
0.2,1.6666666666666667,0,10,1.0110862306029136,1800,6,60,6815.15220082351,2894.0676615864677,3118.8370256464477,-115168.20427123201,108352.97486592195,500,200,-1.101646445076952E8,10
0.2,1.6666666666666667,0,50,0.9143389659746766,1800,6,60,138392.5428571659,42851.84709194115,6725.552831355315,-3177297.8425652375,3038907.921256354,500,200,-5.867045895433688E8,50
0.2,1.6666666666666667,0,100,0.8685533831429616,1800,6,60,500828.91107157647,94862.7526343869,8828.652243964454,-8829692.73992028,8328893.194612911,500,200,-8.121258313453214E8,100
0.22,1.6666666666666667,0,10,1.0304207367698768,1800,6,60,7127.496969166894,3131.3024510283885,5470.398444684918,-45451.10156817224,38323.77565469159,500,220,-4.9138911330805294E7,10
0.22,1.6666666666666667,0,50,0.9151089259913309,1800,6,60,138946.5627628175,43305.41978530734,9104.800970552376,-3180592.113048869,3041646.7421502494,500,220,-5.878186061463158E8,50
0.22,1.6666666666666667,0,100,0.8667687791009625,1800,6,60,499273.989010986,105245.92253517063,11174.228253878879,-8949089.180132005,8449841.094119566,500,220,-8.241372119019202E8,100
0.24000000000000002,1.6666666666666667,0,10,1.050394219065376,1800,6,60,7441.176358311631,3141.3360454343615,8653.751135961304,20828.51396491874,-28269.725595560507,500,240.00000000000003,8212206.166839224,10
0.24000000000000002,1.6666666666666667,0,50,0.9161020357425077,1800,6,60,139474.20207344776,42951.84116708859,11887.44855538941,-3185026.018463014,3045553.3784494987,500,240.00000000000003,-5.890664196700948E8,50
0.24000000000000002,1.6666666666666667,0,100,0.8655380136886247,1800,6,60,498165.0228834542,114450.51279486743,13858.680050928251,-9046766.132262079,8548625.54831997,500,240.00000000000003,-8.340977568279903E8,100
0.26,1.6666666666666667,0,10,1.0687800414437474,1800,6,60,7728.963864213212,2969.4033802740364,12332.664702837146,79300.45003963736,-87029.46800958269,500,260,5.818034723320554E7,10
0.26,1.6666666666666667,0,50,0.916996940371571,1800,6,60,139907.33503989442,43076.05733350621,14799.563503743819,-3192750.6342059798,3052844.5900912625,500,260,-5.910229554624046E8,50
0.26,1.6666666666666667,0,100,0.8646422628427914,1800,6,60,497318.4284016444,123334.67480646324,16645.623420294585,-9127910.60210574,8630618.09645542,500,260,-8.425355363938613E8,100
0.28,1.6666666666666667,0,10,1.0843414668885851,1800,6,60,7973.741114252153,2698.2472005785003,16076.810461255038,127551.46523658588,-135525.37021381935,500,280,9.888764324977489E7,10
