% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph,,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,,
% Date,"Mar 15 2021, 14:46",,,,,,,,,,,,,,,
% Table,Probe Table 1 - ,,,,,,,,,,,,,,,
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),cw_eh_ratio,"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.18,1.66666666666667,0,10,0.993890785580017,1800,6,60,6601.50827829587,384.808402005822,1257.98216361689,-126378.779084331,119777.256397385,100,180,-116383245.136321,10
0.18,1.66666666666667,0,50,0.931946372930915,1800,6,60,143984.96059531,16277.7148710097,7088.66606586498,-2542924.82087787,2398940.65147546,100,180,-466598400.329956,50
0.18,1.66666666666667,0,100,0.905005397130888,1800,6,60,544130.302053702,12540.5018744738,10995.2647565269,-6651127.84372308,6107007.6892852,100,180,-606787600.941277,100
0.19,1.66666666666667,0,10,1.00695945259881,1800,6,60,6789.57938768253,-323.531313332613,2508.57468966314,-71427.5707522802,64637.9221675863,100,190,-66920558.2987367,10
0.19,1.66666666666667,0,50,0.933267344485588,1800,6,60,144545.354110198,16102.1335843731,8347.06336222572,-2512952.93724882,2368407.70387103,100,190,-461345842.58099,50
0.19,1.66666666666667,0,100,0.903810593926201,1800,6,60,542979.475159194,13198.5586355143,11742.0384002438,-6730977.47981099,6187996.42329982,100,190,-614174370.622429,100
0.2,1.66666666666667,0,10,1.02227049300162,1800,6,60,7008.99208330233,-1407.21442308024,4603.81762268592,-10606.0474892129,3596.88001662504,100,200,-12547864.2625624,10
0.2,1.66666666666667,0,50,0.934753212564242,1800,6,60,145151.409323164,15360.579221849,9806.51093009364,-2481724.5686916,2336571.97641013,100,200,-455798483.426103,50
0.2,1.66666666666667,0,100,0.902810526472153,1800,6,60,542053.758249336,13570.7301003771,12516.7786865739,-6801225.54114781,6259174.42181048,100,200,-620664822.721333,100
0.21,1.66666666666667,0,10,1.0390869885779,1800,6,60,7254.10765852636,-2946.84980768814,7766.59056901571,54738.5889087866,-61992.7333303043,100,210,45380771.0431448,10
0.21,1.66666666666667,0,50,0.936352086571856,1800,6,60,145774.45854335,14103.0411356654,11454.6588467094,-2451063.18875317,2305287.48418685,100,210,-450294707.042831,50
0.21,1.66666666666667,0,100,0.901979015671403,1800,6,60,541309.646701541,13722.9191245541,13327.83347806,-6863293.44828109,6322004.05115097,100,210,-626394927.353052,100
0.22,1.66666666666667,0,10,1.05678439019442,1800,6,60,7518.4439152204,-5007.75032044505,12143.1618912008,123298.170116343,-130816.658693994,100,220,105602507.768715,10
0.22,1.66666666666667,0,50,0.937980499913606,1800,6,60,146389.628516821,12436.5399337796,13263.6442817619,-2422347.5909027,2275958.3423847,100,220,-445099595.476047,50
0.22,1.66666666666667,0,100,0.901293065396926,1800,6,60,540708.542124907,13747.4693769168,14174.6227423024,-6918367.16643262,6377661.17874798,100,220,-631480841.686524,100
0.23,1.66666666666667,0,10,1.07483037138216,1800,6,60,7795.33145757007,-7620.34813054627,17779.8939073513,193809.441364135,-201604.777654799,100,230,166954450.533937,10
0.23,1.66666666666667,0,50,0.939570310364276,1800,6,60,146976.970951514,10496.805630167,15192.6881912503,-2396546.00503549,2249569.30634259,100,230,-440406454.337626,50
0.23,1.66666666666667,0,100,0.900726979219592,1800,6,60,540220.504117849,13764.0233347829,15048.4945030641,-6967298.52203033,6427086.41986121,100,230,-636010094.533464,100
0.24,1.66666666666667,0,10,1.09280095204241,1800,6,60,8078.3579342501,-10772.1401325174,24621.6636636233,265064.879071578,-273143.390246225,100,240,228377595.945885,10
0.24,1.66666666666667,0,50,0.94106314663587,1800,6,60,147521.957836589,8434.12999794656,17192.8109064158,-2374261.42345578,2226742.18665016,100,240,-436343338.974576,50
0.24,1.66666666666667,0,100,0.900257416420414,1800,6,60,539821.711756249,13878.0326138882,15935.1253728303,-7010781.53141862,6470962.82216881,100,240,-640054062.673201,100
0.25,1.66666666666667,0,10,1.11034599454813,1800,6,60,8361.62943889523,-14407.7088288299,32526.3887740416,335928.932291259,-344290.648415141,100,250,288918411.223679,10
0.25,1.66666666666667,0,50,0.942419302349937,1800,6,60,148014.726850475,6380.85803148029,19212.1176385484,-2355820.85781668,2207805.87529582,100,250,-432984333.361222,50
0.25,1.66666666666667,0,100,0.899869594430332,1800,6,60,539495.496781241,14179.234511607,16817.1388651236,-7049289.00646017,6509798.55223879,100,250,-643662307.257898,100
0.26,1.66666666666667,0,10,1.12720108632913,1800,6,60,8639.95809705731,-18439.6936483988,41288.411226565,405355.832680563,-413995.865148894,100,260,347733741.002181,10
0.26,1.66666666666667,0,50,0.943614273110655,1800,6,60,148449.717648287,4463.27418053734,21200.2919717493,-2341315.5694763,2192865.90108721,100,260,-430359842.841566,50
0.26,1.66666666666667,0,100,0.899551978973011,1800,6,60,539229.989028444,14735.2759455309,17676.0661665499,-7083190.42600668,6543965.0226319,100,260,-646872888.010794,100
0.27,1.66666666666667,0,10,1.14315266101649,1800,6,60,8908.93108100543,-22759.8083878307,50664.1665512308,472414.691869948,-481323.684305507,100,270,404100303.369589,10
0.27,1.66666666666667,0,50,0.944635305901624,1800,6,60,148824.697157596,2773.72453976106,23111.7627893595,-2330671.5089904,2181850.69160103,100,270,-428464908.421735,50
0.27,1.66666666666667,0,100,0.899293617266397,1800,6,60,539017.471085899,15587.671478768,18494.4275511262,-7112732.06065587,6573732.77854264,100,270,-649710378.153246,100
0.28,1.66666666666667,0,10,1.15804022614339,1800,6,60,9164.94096727188,-27252.1116255954,60396.3467235699,536300.408755006,-545465.052893718,100,280,457414703.324575,10
0.28,1.66666666666667,0,50,0.945485167235014,1800,6,60,149139.775428765,1385.41817713197,24908.0699221897,-2323694.73164621,2174557.85890692,100,280,-427270585.408284,50
0.28,1.66666666666667,0,100,0.899088734749214,1800,6,60,538852.619291069,16754.9810696357,19256.9251865583,-7138128.86010612,6599279.5774279,100,280,-652194615.123844,100
0.29,1.66666666666667,0,10,1.17177330170624,1800,6,60,9405.17997103377,-31798.1615779852,70233.0392481993,596353.485842296,-605758.687417603,100,290,507198734.701894,10
0.29,1.66666666666667,0,50,0.946171250207117,1800,6,60,149396.915189888,347.101865281616,26558.9707299595,-2320110.24046667,2170714.23641963,100,290,-426730238.738535,50
0.29,1.66666666666667,0,100,0.898936578269155,1800,6,60,538733.343964947,18232.0373729451,19950.9632203837,-7159493.82973731,6620777.93581705,100,290,-654334257.302779,100
0.3,1.66666666666667,0,10,1.18428139543865,1800,6,60,9627.58846346439,-36294.2227144509,79942.410436878,652056.305736548,-661684.074789594,100,300,553098289.10375,10
0.3,1.66666666666667,0,50,0.946705741190578,1800,6,60,149599.563892069,-312.878811301256,28041.9537025675,-2319580.97101575,2169980.70379117,100,300,-426783644.710373,50
0.3,1.66666666666667,0,100,0.898832492786932,1800,6,60,538657.302921689,20001.7006619641,20566.8410315749,-7176982.91965616,6638333.59796425,100,300,-656141041.940875,100
0.31,1.66666666666667,0,10,1.19554122977271,1800,6,60,9830.73802874182,-40642.5754962707,89321.9108125745,703034.017380379,-712865.036371826,100,310,594867892.785522,10
0.31,1.66666666666667,0,50,0.947104815626176,1800,6,60,149751.924620935,-580.695213743296,29342.3741642311,-2321748.16487374,2171998.51183606,100,310,-427365426.149862,50
0.31,1.66666666666667,0,100,0.898775839817544,1800,6,60,538624.103482679,22035.7900524603,21098.0933646822,-7190686.8868333,6652066.14700359,100,310,-657620070.022762,100
0.32,1.66666666666667,0,10,1.2055347934681,1800,6,60,10013.8110562412,-44768.5310445909,98202.8690690801,749038.981710967,-759052.985109967,100,320,632367857.896799,10
0.32,1.66666666666667,0,50,0.947383534192221,1800,6,60,149858.346112488,-468.584969142923,30452.0592658331,-2326253.87106842,2176395.92081277,100,320,-428406790.066387,50
0.32,1.66666666666667,0,100,0.898763785862034,1800,6,60,538633.22046979,24296.6031788487,21540.9820486781,-7200717.37835258,6662087.52162676,100,320,-658777723.961821,100
0.33,1.66666666666667,0,10,1.21427782214839,1800,6,60,10176.4762575098,-48612.2224858222,106452.536089148,789943.446356231,-800119.433389123,100,330,665548302.502643,10
0.33,1.66666666666667,0,50,0.947551083055489,1800,6,60,149923.704702752,12.0445347861288,31368.9812580612,-2332731.51571614,2182808.39698617,100,330,-429838643.91073,50
0.33,1.66666666666667,0,100,0.898793636361425,1800,6,60,538684.45510862,26731.1642315502,21893.8678931315,-7207173.99813564,6668505.30976071,100,330,-659618093.660026,100
0.34,1.66666666666667,0,10,1.22181145964437,1800,6,60,10318.8172874822,-52126.9260945282,113972.531401761,825723.360163112,-836042.28677817,100,340,694434322.596256,10
0.34,1.66666666666667,0,50,0.94761660471292,1800,6,60,149952.747335601,835.675651916331,32095.6531719783,-2340832.03162686,2190882.80442835,100,340,-431593338.263778,50
0.34,1.66666666666667,0,100,0.89886645497091,1800,6,60,538776.955447786,29306.6531820071,22158.0786928171,-7210201.26725862,6671424.24301912,100,340,-660151454.466667,100
0.35,1.66666666666667,0,10,1.22817921232346,1800,6,60,10441.2372783743,-55285.7889194411,120697.180816686,856441.390580095,-866882.678810367,100,350,719118180.620775,10
0.35,1.66666666666667,0,50,0.947593246915567,1800,6,60,149949.902957441,1966.17187861021,32638.3525211199,-2350238.6858168,2200291.15704664,100,350,-433607856.40301,50
0.35,1.66666666666667,0,100,0.898983606117531,1800,6,60,538910.941751493,31971.2090688222,22335.8165129473,-7209875.97077138,6670979.83426842,100,350,-660380272.395732,100
0.36,1.66666666666667,0,10,1.23343773112488,1800,6,60,10544.4239894994,-58075.4642499071,126588.677639949,882230.461514225,-892774.715895984,100,360,739742952.840164,10
0.36,1.66666666666667,0,50,0.947490865396321,1800,6,60,149919.619643107,3376.51600984491,33006.3121943796,-2360645.50931383,2210727.10076632,100,360,-435823334.094194,50
0.36,1.66666666666667,0,100,0.899141793997975,1800,6,60,539084.795535514,34681.5278556711,22430.9802809176,-7206361.25354978,6667281.16373982,100,360,-660315796.516938,100
0.37,1.66666666666667,0,10,1.23764645424458,1800,6,60,10629.2386269819,-60490.4646211304,131633.784581067,903280.840779412,-913910.434825305,100,370,756488655.290435,10
0.37,1.66666666666667,0,50,0.94732051989778,1800,6,60,149865.909201324,5024.71890902584,33210.5459330024,-2371777.25681414,2221912.9389902,100,370,-438184094.846579,50
0.37,1.66666666666667,0,100,0.899337602202572,1800,6,60,539298.154649715,37396.8227320876,22448.5270946979,-7199766.8591209,6660473.24821112,100,370,-659964746.267966,100
0.38,1.66666666666667,0,10,1.24089710487493,1800,6,60,10696.7055382738,-62536.3712463345,135839.924323366,919826.128388347,-930523.155298056,100,380,769565977.555745,10
0.38,1.66666666666667,0,50,0.947091931503132,1800,6,60,149792.547049049,6872.30067857029,33263.3995680332,-2383389.42842666,2233600.87553933,100,380,-440640932.486053,50
