% Model,Untitled.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 1 2021, 12:19"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ey*ec.Jy (W), Faraday Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm)
0.125,1.6666666666666667,0.012,0.3361022135141026,1800,6,60,1.6205685433594383E7,-3.948813268112505E8,-1212971.9175813803,1240233.2542941258,-3.9485406547453815E8,3.7864948837077796E8,250,125
0.13,0,0,0.24860441852540688,1800,6,60,1.6473721867771514E7,-1.1160182240780985E8,156482.3127425762,242.65580794330637,-1.1144509743925945E8,9.49724237710458E7,250,130
0.13,0,0.012,0.24860441840186684,1800,6,60,1.6473721851425238E7,-1.1160182241225246E8,156482.31177118252,242.6557935903667,-1.1144509744468729E8,9.497242342796057E7,250,130
0.13,1.6666666666666667,0,0.24829817321656258,1800,6,60,1.5919547478543004E7,-1.1087833997087155E8,-272044.1816343815,281777.64525830006,-1.108686065072474E8,9.495007598546618E7,250,130
0.13,1.6666666666666667,0.012,0.33616834923426087,1800,6,60,1.6239040077239646E7,-3.9500392201570016E8,-1210428.2532878602,1228275.0678002927,-3.9498607520118433E8,3.7874814766008276E8,250,130
0.135,0,0,0.24885174082080302,1800,6,60,1.6506520429279964E7,-1.1163658113535781E8,156130.38626758047,239.57058678213286,-1.11480211178502E8,9.497474096973021E7,250,135
0.135,0,0.012,0.24885174193924048,1800,6,60,1.6506520578170648E7,-1.1163658110234436E8,156130.39038799918,239.57057681874699,-1.114802111413803E8,9.497474416213664E7,250,135
0.135,1.6666666666666667,0,0.2485287282053096,1800,6,60,1.5951260307604797E7,-1.10912479474586E8,-273166.24924965826,279157.51664072304,-1.1090648820719428E8,9.495625159266646E7,250,135
0.135,1.6666666666666667,0.012,0.33622991186628887,1800,6,60,1.6271358939850464E7,-3.951204499832192E8,-1209889.5230022285,1215598.3349112775,-3.951147411713098E8,3.788444952949163E8,250,135
0.14,0,0,0.24909249145819282,1800,6,60,1.6538478702166274E7,-1.116703630700545E8,155791.77266067732,237.24083759472742,-1.1151433405655679E8,9.497690580019747E7,250,140
0.14,0,0.012,0.24909249058990027,1800,6,60,1.6538478587190084E7,-1.1167036310961159E8,155791.76414889877,237.24080384003392,-1.1151433410465986E8,9.497690340975116E7,250,140
0.14,1.6666666666666667,0,0.24875337303251407,1800,6,60,1.5982158241674352E7,-1.1094554905364086E8,-274394.09860784846,276426.4537320101,-1.1094351669851685E8,9.49623779522158E7,250,140
0.14,1.6666666666666667,0.012,0.33628776989284986,1800,6,60,1.6302849472847532E7,-3.952324221407237E8,-1210722.3920723689,1202230.7350316767,-3.9524091379776627E8,3.789391835935079E8,250,140
0.145,0,0,0.24932776957110006,1800,6,60,1.6569740264365535E7,-1.1170334912874481E8,155464.38474371808,235.43032017957725,-1.1154764931368065E8,9.497896061234619E7,250,145
0.145,0,0.012,0.24932777045133112,1800,6,60,1.6569740380891211E7,-1.1170334908593461E8,155464.3943930399,235.4303711043992,-1.1154764926116987E8,9.497896302256362E7,250,145
0.145,1.6666666666666667,0,0.24897303052780714,1800,6,60,1.6012381407683961E7,-1.1097777256036727E8,-275682.61321597436,273594.275385121,-1.1097986089819941E8,9.496850630273837E7,250,145
0.145,1.6666666666666667,0.012,0.33634260619266054,1800,6,60,1.6333651766825002E7,-3.95341058610568E8,-1212309.0591397642,1188218.1787505175,-3.9536514949095756E8,3.7903261520490545E8,250,145
0.15,0,0,0.2495584296450489,1800,6,60,1.6600416746453606E7,-1.1173567971303922E8,155146.74856944958,233.9852789353944,-1.1158029897919022E8,9.498094090593858E7,250,150
0.15,0,0.012,0.24955842850516974,1800,6,60,1.6600416594783437E7,-1.1173567975926779E8,155146.740551395,233.98524412241426,-1.1158029903347245E8,9.49809377118606E7,250,150
0.15,1.6666666666666667,0,0.2491885753938072,1800,6,60,1.6042035595342858E7,-1.1100932371318863E8,-276996.40908252925,270672.6447112214,-1.1101564747755797E8,9.497464034275906E7,250,150
0.15,1.6666666666666667,0.012,0.336395913570054,1800,6,60,1.6363875938402466E7,-3.9544730794567347E8,-1214167.466084097,1173613.7266899624,-3.954878616850678E8,3.791251076460792E8,250,150
0.155,0,0,0.24978521602158354,1800,6,60,1.6630605572690912E7,-1.117674780701993E8,154837.66052022058,232.80289160485654,-1.1161240760678534E8,9.498285908327083E7,250,155
0.155,0,0.012,0.2497852165801401,1800,6,60,1.6630605646485621E7,-1.1176747803709033E8,154837.66866790678,232.80294324631734,-1.1161240756547847E8,9.498286057942204E7,250,155
0.155,1.6666666666666667,0,0.2494007188807961,1800,6,60,1.6071215594777506E7,-1.1104034785926482E8,-278311.0201915613,267673.4032915508,-1.1105098547616352E8,9.498080043566032E7,250,155
0.155,1.6666666666666667,0.012,0.3364490836810692,1800,6,60,1.6393617387309331E7,-3.95551979096347E8,-1215897.6573885214,1158474.775326998,-3.9560940197841173E8,3.7921690992534035E8,250,155
0.16,0,0,0.2500088371517805,1800,6,60,1.6660399769662857E7,-1.1179885837860289E8,154536.16698438744,231.81336786739172,-1.1164409039825195E8,9.498474586147788E7,250,160
0.16,0,0.012,0.25000883722015105,1800,6,60,1.6660399778969558E7,-1.1179885838008292E8,154536.1660161294,231.8133586953557,-1.116440904007085E8,9.498474608104055E7,250,160
0.16,1.6666666666666667,0,0.2496101559734391,1800,6,60,1.6100010130965628E7,-1.1107097256993437E8,-279611.3184234259,264608.6695196364,-1.1108597521883857E8,9.498699160155186E7,250,160
0.16,1.6666666666666667,0.012,0.3365015621212483,1800,6,60,1.642296739797656E7,-3.9565556506518435E8,-1217386.408196067,1142859.5491490182,-3.9573009192423683E8,3.79308250523735E8,250,160
