% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 12 2021, 15:55"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power"
0.044,1.6666666666666667,0,0.15,0.816672451481556,1800,6,60,1394623.7575023219,-104299.79772648391,78320.43690363197,-1389865.245077307,-4759.553573281766,150,44,-6.199481292065732E8
0.044,1.6666666666666667,0,0.2,0.816817863306277,1800,6,60,1408655.3305274486,-78428.32683598629,82289.78334019345,-1387995.0749577987,-20661.11909447681,200,44,-6.326620597554654E8
0.044,1.6666666666666667,0,0.3,0.812506082994393,1800,6,60,1445312.0525869236,-75841.00876061384,79992.38937424423,-1435215.904628937,-10096.813405497,300,44,-6.542578569284412E8
0.046,1.6666666666666667,0,0.07,0.8171548925042439,1800,6,60,1422874.8412315687,-121627.50518389826,86671.87021096316,-1381866.3899378562,-41009.61676532876,70,46,-6.122321613476913E8
0.046,1.6666666666666667,0,0.15,0.8162958898556992,1800,6,60,1391883.1232028208,-105373.53656622108,78186.9775525572,-1400231.8227851023,8347.990511461785,150,46,-6.24111483532472E8
0.046,1.6666666666666667,0,0.2,0.8164412215015537,1800,6,60,1405916.2415517464,-79539.7159772725,82144.8979309036,-1398240.2327735794,-7676.913850535424,200,46,-6.367479157850983E8
0.046,1.6666666666666667,0,0.3,0.8121192760235236,1800,6,60,1442474.7235093627,-76796.08707121125,79857.71080557909,-1445500.8000561798,3025.378963984258,300,46,-6.584374653593422E8
0.048,1.6666666666666667,0,0.07,0.8167303892441551,1800,6,60,1420192.6042549447,-122636.31467682087,86543.18267413665,-1391779.7124123857,-28414.245858514216,70,48,-6.162211729134972E8
0.048,1.6666666666666667,0,0.15,0.8159392360065071,1800,6,60,1389171.9242737843,-106423.51192758796,78053.10419746074,-1410486.3176731907,21313.768688407,150,48,-6.282345045195783E8
0.048,1.6666666666666667,0,0.2,0.8160814863289904,1800,6,60,1403194.974658486,-80630.08106810854,81999.66937935115,-1408410.0512951554,5213.67243958309,200,48,-6.40808927093821E8
0.048,1.6666666666666667,0,0.3,0.8117531309456398,1800,6,60,1439679.9055791907,-77730.71686551128,79722.76610161772,-1455639.3906294352,15958.268400235698,300,48,-6.625597453934276E8
0.05,1.6666666666666667,0,0.07,0.8163187195096296,1800,6,60,1417528.3590902104,-123626.71155431292,86413.17463150331,-1401625.5999411496,-15903.786277020863,70,50,-6.201873013719761E8
0.05,1.6666666666666667,0,0.15,0.8156039096359938,1800,6,60,1386491.0771161206,-107449.57406478186,77919.14928808039,-1420620.143366512,34128.11742824598,150,50,-6.323135084499148E8
0.05,1.6666666666666667,0,0.2,0.8157394241626758,1800,6,60,1400494.6916495266,-81698.42826162315,81854.35076866933,-1418493.5204954438,17997.6627604756,200,50,-6.448406559102224E8
0.05,1.6666666666666667,0,0.3,0.81140599169143,1800,6,60,1436929.2397330205,-78643.6352330617,79587.81905887449,-1465625.444219843,28695.106177200025,300,50,-6.666225582025719E8
0.052,1.6666666666666667,0,0.07,0.8159208075028174,1800,6,60,1414884.0863053612,-124598.84654871609,86281.98954554847,-1411394.2277248108,-3490.440392598626,70,52,-6.241260776007509E8
0.052,1.6666666666666667,0,0.15,0.815289362430316,1800,6,60,1383843.9870769377,-108451.68502531137,77785.20433731179,-1430627.7932160632,46782.77154224451,150,52,-6.363460511491199E8
