% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 15 2021, 18:04"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),resistance (Ω),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.365,1.6666666666666667,0,10,0.6277621350225162,1800,6,60,1.5379238275987811E7,-362892.10039458214,505603.42187809706,-1.6441096089462861E7,1061857.8884275425,100,365,-1.50761885554058E9,100
0.365,1.6666666666666667,0,100,0.8586790901005045,1800,6,60,3427883.4721085927,7403.176927064242,25254.378407527896,-9125732.894360503,5697864.863060181,100,365,-8.325809499722791E8,100
0.37,1.6666666666666667,0,0.001,0.3196526933131266,1800,6,60,12801.255114377183,-3439051.5387473903,3246727.7574042184,-2662590.563193217,2649742.6428789278,100,370,-2.245697074409152E8,100
0.37,1.6666666666666667,0,10,0.6276440828115016,1800,6,60,1.535862070185852E7,-361922.5644329203,504803.88587661524,-1.6451881407898122E7,1093262.3478171532,100,370,-1.5086147935765111E9,100
0.37,1.6666666666666667,0,100,0.8587195228977659,1800,6,60,3427901.9367383053,8867.800379603626,25212.78779102839,-9127338.228626724,5699439.421783033,100,370,-8.328562560724745E8,100
0.375,1.6666666666666667,0,0.001,0.31941042083369603,1800,6,60,12747.613232364134,-3430698.434163379,3234854.1841164664,-2673974.3362354515,2661173.324597586,100,375,-2.2528455328986782E8,100
0.375,1.6666666666666667,0,10,0.6275207671994261,1800,6,60,1.533837140195876E7,-360826.8970302493,504068.98623364116,-1.646238862273764E7,1124018.5146422326,100,375,-1.5096027919946263E9,100
0.375,1.6666666666666667,0,100,0.8587678866111808,1800,6,60,3427984.285367379,10336.046344479808,25161.10893823158,-9128266.314681137,5700286.995550853,100,375,-8.33069406360341E8,100
0.38,1.6666666666666667,0,0.001,0.3191550652595229,1800,6,60,12694.279032412825,-3421461.3170629647,3223449.151320594,-2685586.6805592487,2672838.7695720196,100,380,-2.2614313771062624E8,100
0.38,1.6666666666666667,0,10,0.6273920767474712,1800,6,60,1.5318494613537958E7,-359616.7368552483,503396.5307925079,-1.6472619989453917E7,1154120.9434906088,100,380,-1.5105817984900994E9,100
0.38,1.6666666666666667,0,100,0.8588229074157345,1800,6,60,3428127.980563908,11802.879776350059,25099.813675462225,-9128541.252233524,5700417.157506008,100,380,-8.332221768804709E8,100
