% Model,Evan_segmented_faraday_v8.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 28 2021, 08:13"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),u_x (m/s),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","abs(ec.Jx*ec.Ex) + abs(ec.Jy*ec.Ey) + abs(ec.Jz*ec.Ez) (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power","u_x*(ec.Jy * B_z(x)) (W), Push Power","(ec.Jx-int_Jx(x,y,z))/ec.normJ (m^3), Opt_test_Jx","(ec.Jy-int_Jy(x,y,z))/ec.normJ (m^3), Opt_test_Jy","(ec.Jz-int_Jz(x,y,z))/ec.normJ (m^3), Opt_test_Jz"
0.25,1.6666666666666667,0,0.5,1200,1.1655484637168148,1200,6,60,1.800945191946367E7,1.1715064077716606E7,8027274.986180858,1.5855302864821998E7,1.4928765620325267E8,500,250,-3.5336692718867785E8,-6.292694452334204E7,0.014487063994365614,-0.051380476708539735,0.0013381463611198804
0.25,1.6666666666666667,0,0.5,1800,1.1655484660582858,1800,6,60,4.05212671604132E7,2.6358895088722676E7,1.806136904894001E7,3.567443226791112E7,3.35897227319597E8,500,250,-7.950756245228616E8,-1.4158562569018316E8,0.008597144444728767,-0.09433823689054316,8.90746942243879E-4
0.25,1.6666666666666667,0,0.5,2400,1.165548468316312,2400,6,60,7.203780845774011E7,4.686025895169133E7,3.2109100963100154E7,6.342121400036774E7,5.971506285817327E8,500,250,-1.4134678104021578E9,-2.51707779766958E8,0.005652184763418999,-0.115817116847626,6.670473516481317E-4
0.3,1.6666666666666667,0,0.5,1200,1.1655484674449315,1200,6,60,1.800945231255227E7,1.1715064669832565E7,8027275.195038066,1.5855303395515714E7,1.4928765645820454E8,500,300,-3.5336695175954014E8,-6.292694477853336E7,0.01448706398082943,-0.05138047725327717,0.001338146123838309
0.3,1.6666666666666667,0,0.5,1800,1.1655484656499933,1800,6,60,4.0521266910423785E7,2.6358894697086614E7,1.806136890333074E7,3.567443191936986E7,3.3589722711167896E8,500,300,-7.950756073679444E8,-1.4158562547817507E8,0.00859714450187007,-0.09433823664428917,8.907469238811776E-4
0.3,1.6666666666666667,0,0.5,2400,1.165548470012294,2400,6,60,7.203780919420712E7,4.6860259917714775E7,3.2109101273754973E7,6.342121484091586E7,5.971506284755932E8,500,300,-1.4134678500502987E9,-2.51707780084907E8,0.005652184764321839,-0.11581711696971272,6.670471019757913E-4
0.35000000000000003,1.6666666666666667,0,0.5,1200,1.1655484677062125,1200,6,60,1.8009452315030903E7,1.1715064775154196E7,8027275.22581622,1.5855303479906766E7,1.492876565737077E8,500,350.00000000000006,-3.533669564603329E8,-6.292694483261471E7,0.014487063948770258,-0.05138047741290068,0.001338146250290737
0.35000000000000003,1.6666666666666667,0,0.5,1800,1.1655484637644855,1800,6,60,4.052126602863085E7,2.6358893956479438E7,1.8061368742280737E7,3.5674431440755375E7,3.3589722838722223E8,500,350.00000000000006,-7.950755689095315E8,-1.4158562553729147E8,0.008597144457975372,-0.09433823665567637,8.907474945744825E-4
0.35000000000000003,1.6666666666666667,0,0.5,2400,1.1655484698768512,2400,6,60,7.203780991815087E7,4.686025989508592E7,3.2109101178344E7,6.3421214625042096E7,5.971506262714719E8,500,350.00000000000006,-1.4134678589443307E9,-2.5170777961104438E8,0.005652184769095225,-0.11581711688177825,6.670468770133124E-4
0.4,1.6666666666666667,0,0.5,1200,1.1655484667927358,1200,6,60,1.800945213401968E7,1.1715064589558985E7,8027275.17453939,1.5855303342759741E7,1.4928765663502437E8,500,400,-3.5336694739441997E8,-6.292694479407547E7,0.01448706391038288,-0.05138047737593266,0.001338146342181725
