% Model,Evan_segmented_faraday_v8.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 28 2021, 09:48"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),ew_cw_ratio (1),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","abs(ec.Jx*ec.Ex) + abs(ec.Jy*ec.Ey) + abs(ec.Jz*ec.Ez) (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power","u_x*(ec.Jy * B_z(x)) (W), Push Power","(ec.Jx-int_Jx(x,y,z))/ec.normJ (m^3), Opt_test_Jx","(ec.Jy-int_Jy(x,y,z))/ec.normJ (m^3), Opt_test_Jy","(ec.Jz-int_Jz(x,y,z))/ec.normJ (m^3), Opt_test_Jz"
0.25,1.6666666666666667,0,0.5,50,1.1655484664062712,1800,6,60,4.052126666026806E7,2.6358894793846197E7,1.8061369026936896E7,3.5674432169258595E7,3.3589722846952474E8,500,250,-7.950756046840447E8,-1.4158562583106878E8,0.00859714448739339,-0.09433823686607302,8.907472229299925E-4
0.25,1.6666666666666667,0,0.5,100,1.1655484642939724,1800,6,60,4.052126669477481E7,2.6358894210120995E7,1.806136878051944E7,3.5674431547249846E7,3.3589722695543206E8,500,250,-7.950755857627915E8,-1.4158562534393644E8,0.008597144439368733,-0.09433823668223378,8.907469637182775E-4
0.3,1.6666666666666667,0,0.5,10,1.1655484638102942,1800,6,60,4.052126592963159E7,2.6358894056040827E7,1.8061368769297626E7,3.567443152087293E7,3.358972287495518E8,500,300,-7.950755731332217E8,-1.4158562564006296E8,0.008597144439151294,-0.09433823669735286,8.907474555056822E-4
0.3,1.6666666666666667,0,0.5,50,1.1655484626268096,1800,6,60,4.052126623590732E7,2.6358893682784624E7,1.8061368561904557E7,3.567443104008027E7,3.3589722662068796E8,500,300,-7.950755640553695E8,-1.4158562506194E8,0.008597144473171205,-0.09433823639803121,8.907471962663854E-4
0.3,1.6666666666666667,0,0.5,100,1.1655484658393918,1800,6,60,4.0521267282821864E7,2.6358894978246063E7,1.8061368998294175E7,3.56744321378255E7,3.358972268619828E8,500,300,-7.950756217013491E8,-1.4158562552898845E8,0.008597144474227134,-0.09433823676138477,8.907468783932804E-4
0.35000000000000003,1.6666666666666667,0,0.5,10,1.1655484629193558,1800,6,60,4.052126568807173E7,2.635889377618988E7,1.8061368687526416E7,3.567443128683754E7,3.358972288816992E8,500,350.00000000000006,-7.950755615344294E8,-1.4158562557029018E8,0.008597144423763331,-0.09433823660135142,8.907476536737932E-4
0.35000000000000003,1.6666666666666667,0,0.5,50,1.1655484668932452,1800,6,60,4.05212671024048E7,2.6358895286957905E7,1.806136913885217E7,3.5674432520234175E7,3.3589722787015605E8,500,350.00000000000006,-7.950756277796277E8,-1.4158562586139637E8,0.008597144443259985,-0.094338236917366,8.907470972343304E-4
0.35000000000000003,1.6666666666666667,0,0.5,100,1.165548468001927,1800,6,60,4.052126745015992E7,2.6358895699472845E7,1.8061369271136038E7,3.567443284033323E7,3.3589722790178907E8,500,350.00000000000006,-7.950756482068653E8,-1.4158562598949462E8,0.008597144464956226,-0.09433823703579639,8.907470070809356E-4
0.4,1.6666666666666667,0,0.5,10,1.1655484683749247,1800,6,60,4.052126745437311E7,2.6358895798106886E7,1.806136934163952E7,3.5674432998421915E7,3.3589722832234585E8,500,400,-7.950756492112838E8,-1.415856261408907E8,0.008597144435388672,-0.09433823715779692,8.90747000992309E-4
0.4,1.6666666666666667,0,0.5,50,1.165548465337298,1800,6,60,4.052126680405981E7,2.635889471306725E7,1.806136891413659E7,3.5674431949180506E7,3.358972274048972E8,500,400,-7.950756070930121E8,-1.415856255532781E8,0.008597144483055496,-0.09433823671729648,8.907469606946692E-4
