% Model,Evan_segmented_faraday_v8.mph
% Version,COMSOL 5.5.0.359
% Date,"Apr 28 2021, 12:25"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),outer_chan_len (m),sig_b (S/m),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","abs(ec.Jx*ec.Ex) + abs(ec.Jy*ec.Ey) + abs(ec.Jz*ec.Ez) (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power","u_x*(ec.Jy * B_z(x)) (W), Push Power","(ec.Jx-int_Jx(x,y,z))/ec.normJ (m^3), Opt_test_Jx","(ec.Jy-int_Jy(x,y,z))/ec.normJ (m^3), Opt_test_Jy","(ec.Jz-int_Jz(x,y,z))/ec.normJ (m^3), Opt_test_Jz"
0.125,1.6666666666666667,0,0.25,60,0.4299848651381322,1800,6,60,1.3762375018000081E7,-1142686.295524171,7190695.870974347,-2891645.952547016,1.408593672677735E8,250,125,-8.126959570906467E8,-9.604219857809794E7,6.097135267623031E-4,0.03232775026674614,5.248921845449477E-4
0.125,1.6666666666666667,0,0.25,100,0.4333959455165453,1800,6,100,2.9424666622785103E7,-1950385.7517433113,9357346.66129394,-1.1309843707697492E7,2.2991588942540422E8,250,125,-1.7015276924771285E9,-1.513115213990702E8,-0.001656105458496137,0.022255819494421562,3.985848275742021E-4
0.15000000000000002,1.6666666666666667,0,0.25,10,0.4462569265453712,1800,6,10,578275.5847160382,-264475.1569680872,1747121.336312574,916490.3553920083,2.5373160787062094E7,250,150.00000000000003,-5.146871126840686E7,-1.765711446307139E7,0.02026671019059315,0.1565875334969699,0.0017308801942804576
0.15000000000000002,1.6666666666666667,0,0.25,60,0.43474287360907987,1800,6,60,1.4013225591494428E7,-1020791.529796715,7320557.853256776,-2660942.318051867,1.3970540130436054E8,250,150.00000000000003,-8.146098765010859E8,-9.652564967171818E7,9.98645029437539E-4,0.02794141957142588,3.770997325270389E-4
0.15000000000000002,1.6666666666666667,0,0.25,100,0.4372329774003717,1800,6,100,2.9910626084280543E7,-1743106.0250699695,9510901.494168205,-1.1040061314799884E7,2.275796447434361E8,250,150.00000000000003,-1.7098051621725883E9,-1.5187678315394756E8,-0.001135078951771616,0.018468254278413275,2.7350877793739327E-4
0.175,1.6666666666666667,0,0.25,10,0.45310205573897866,1800,6,10,588728.4253647816,-251189.4259841739,1778341.0135439497,975402.937806257,2.5235900542989563E7,250,175,-5.01589681594111E7,-1.77572050166184E7,0.020116039526723587,0.1472328414382464,0.001546354782747002
0.175,1.6666666666666667,0,0.25,60,0.43911445637640184,1800,6,60,1.422985114145801E7,-913935.0234150401,7432954.396529318,-2457665.9790077154,1.3824877425587383E8,250,175,-8.16062304738376E8,-9.68869541498987E7,0.0014153220044514673,0.02411527912221572,2.646874096473056E-4
0.175,1.6666666666666667,0,0.25,100,0.44061525958514336,1800,6,100,3.032814885713269E7,-1555115.9789006233,9643399.158487376,-1.0803099663075184E7,2.2476386004209727E8,250,175,-1.717398440242025E9,-1.5226870251372138E8,-7.722762830160901E-4,0.015153590789018196,1.6331445362207728E-4
0.2,1.6666666666666667,0,0.25,10,0.4594376776095643,1800,6,10,597583.328243399,-241195.9450525445,1804776.7810924633,1026163.3300665902,2.5047227023262076E7,250,200,-4.8856136906666666E7,-1.783219885075044E7,0.020610994883526725,0.14032653110326307,0.001431231765303697
0.2,1.6666666666666667,0,0.25,60,0.4429548317836221,1800,6,60,1.4412490442273658E7,-822271.4211999666,7527877.235497548,-2282904.3943134644,1.3660922101879513E8,250,200,-8.171372916919179E8,-9.713301978756636E7,0.0022412384905805324,0.021094259097848074,2.0066859649015318E-4
0.2,1.6666666666666667,0,0.25,100,0.4434598048199841,1800,6,100,3.0679129292564794E7,-1386606.7767050497,9755226.032941971,-1.059966815610373E7,2.2170105768549374E8,250,200,-1.7243897647582862E9,-1.5250025070838067E8,-3.526327003410675E-5,0.012413171114443655,1.0841055236978721E-4
0.22500000000000003,1.6666666666666667,0,0.25,10,0.4650772372240189,1800,6,10,604574.2220735954,-234951.2179253075,1825611.193750744,1066990.4164303034,2.4800462683151595E7,250,225.00000000000003,-4.760632358137675E7,-1.7872287063374978E7,0.021170007724569805,0.13553076061437241,0.0013630713541706208
0.22500000000000003,1.6666666666666667,0,0.25,60,0.4461285241732261,1800,6,60,1.4555597127179412E7,-750288.7686475649,7602341.632223519,-2143037.053976187,1.347438146391439E8,250,225.00000000000003,-8.177354470501959E8,-9.721166822431108E7,0.0029854964862401725,0.018943067528588563,1.6541157119933874E-4
0.22500000000000003,1.6666666666666667,0,0.25,100,0.4456548037561288,1800,6,100,3.095263336030661E7,-1246405.265069871,9842746.532194596,-1.0437561840437347E7,2.1827450200631008E8,250,225.00000000000003,-1.730354827960201E9,-1.5249013816508955E8,6.56754033102872E-4,0.010353163327001327,8.166805339583535E-5
0.25,1.6666666666666667,0,0.25,10,0.46997662639938265,1800,6,10,609579.0989539807,-232756.46177118848,1840445.0006043592,1096838.372871677,2.448997869214539E7,250,250,-4.644092417831948E7,-1.7867236554765854E7,0.02135121930994332,0.13223311952363298,0.0013393612160739273
0.25,1.6666666666666667,0,0.25,60,0.44863713113996045,1800,6,60,1.4656165308284229E7,-701496.6701552566,7654629.690856472,-2042526.0714068282,1.326311178399543E8,250,250,-8.177871901916492E8,-9.70642418005612E7,0.003242536110154946,0.01745637182166377,1.4368087900157794E-4
0.25,1.6666666666666667,0,0.25,100,0.44721421625424546,1800,6,100,3.1142230549192954E7,-1141509.6431057022,9903710.345487813,-1.032265243734716E7,2.144908321191401E8,250,250,-1.734986649066311E9,-1.5214326642147827E8,9.027351145723268E-4,0.008934532558616542,6.684776613293363E-5
