% Model,Evan_segmented_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 19 2020, 11:48"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z",chan_len/el_len (1),ins_seg_len/el_len (1)
0.12,0,3.587110395648467E10,-1.018343925834021E9,1.1723757439707238E7,677775.6709182186,-1.0059423927234075E9,0.3329331105058481,1800,6,60,-0.7126874922214304,3595.6724097077627,0.2213400144680071,5.5,0.5
0.12,0.04,3.803110332103257E10,-1.0786450452307663E9,1.14309913977266E7,697925.2673512577,-1.0665161285656841E9,0.3423394717942503,1800,6,60,-0.8614210935209856,3697.2616923441906,0.26954282999868284,5.5,0.5
0.12,0.08,3.831436067247634E10,-1.0859159166559603E9,1.0709159271344425E7,747009.3516669067,-1.0744597480329554E9,0.34325276328363263,1800,6,60,-1.0870395725640847,3707.1246090645486,0.3374160999638316,5.5,0.5
0.12,0.12,3.472818286817274E10,-9.840193927660923E8,9265232.41604762,862415.4753727125,-9.73891744874671E8,0.3266626855599942,1800,6,60,-1.469303706606628,3527.9461616202098,0.45152904955595524,5.5,0.5
0.12,0.16,2.4700972316137012E10,-7.003722216233554E8,6526354.149335054,1150230.4784419585,-6.926956369955788E8,0.27583228607141785,1800,6,60,-2.230249172098529,2978.935024622652,0.6741111490402737,5.5,0.5
0.16,0,2.5844373050855083E10,-7.353794153534106E8,9877346.130070506,741683.4633342277,-7.247603857600083E8,0.2834673616543406,1800,6,60,-0.9340996203396172,3061.407275259515,0.2528348336829021,5.5,0.5
0.16,0.04,2.5006382766625957E10,-7.110387087589834E8,8976020.229078243,802264.4272358272,-7.012604241026703E8,0.27853695445553966,1800,6,60,-1.2082119670845213,3008.1504383290326,0.3253090708480399,5.5,0.5
0.16,0.08,2.0551732452232094E10,-5.844438389007545E8,7171914.717048203,934458.4426664301,-5.763374657410365E8,0.2525484372350523,1800,6,60,-1.687454998251542,2727.4365511528727,0.4611332293111879,5.5,0.5
0.16,0.12,1.1315897289434122E10,-3.224538238678293E8,3863237.0301492703,1255978.282022822,-3.173346085556572E8,0.18813196549370936,1800,6,60,-2.6907277850399796,2031.3394952355404,0.7020070434975186,5.5,0.5
0.16,0.16,1.1824397443935294E9,-3.3333662610309977E7,-2359621.5074690892,2533772.9319194793,-3.315951118586003E7,0.06654034482236493,1800,6,60,-5.777845887077032,675.9108859281531,0.7006144679567127,5.5,0.5
