% Model,Evan_continuous_faraday_v5.2.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 7 2020, 15:40"
% Table,Probe Table 1 - 
% mob_i (m^2/(V*s)),u_x (m/s),mob_e (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.02,2700,0.16,-1.671228287006646E8,0.06575383112015179,1.5926836824985993E9,-7.718874168948092E7,-2.4414144947878537E8,2700,6,60,-255.99299684256354,593.7256030446885,0.01451263109677823
0.03,2700,0.16,-1.6515389099841958E8,0.0645790597226607,1.5766081122049186E9,-9.22347388259397E7,-2.5721234424183387E8,2700,6,60,-258.9000119628359,590.7216531324272,-0.0221327335605859
0.04,2700,0.16,-1.6125214893849555E8,0.06316880595896558,1.545092799238275E9,-1.0813919684283476E8,-2.6920930064788747E8,2700,6,60,-261.0137055336254,584.7877899819986,-0.016625228833234907
0.05,2700,0.16,-1.55207881862464E8,0.0614817586874789,1.4959478860240698E9,-1.2461937140069225E8,-2.796402164279767E8,2700,6,60,-262.08129874012684,575.4124365088463,-0.0033985393012336412
0,3000,0.16,-2.0525348120121604E8,0.06752806464547831,1.9596912898557084E9,-6.195838053138191E7,-2.6701738347479618E8,3000,6,60,-276.0120108468546,658.5895617821395,-0.003963402977578372
0.01,3000,0.16,-2.066752469549513E8,0.06672640792226313,1.969803637918907E9,-7.794752546066116E7,-2.8442054043419945E8,3000,6,60,-280.47720032957625,660.2865937208229,-0.019106608413449147
0.02,3000,0.16,-2.06324476113736E8,0.06575383165304698,1.9662761578333063E9,-9.529475737579176E7,-3.014092076711546E8,3000,6,60,-284.43668830874094,659.6951156013805,0.016124354157361916
0.03,3000,0.16,-2.0389370441535154E8,0.06457905867374915,1.946429755409861E9,-1.1387002312680925E8,-3.1754609102892536E8,3000,6,60,-287.6666411910375,656.35739022061,-0.024424742278647354
0.04,3000,0.16,-1.990767208394575E8,0.06316880590907606,1.9075219792320755E9,-1.3350524182729068E8,-3.3235721558497006E8,3000,6,60,-290.0153158717684,649.7642119195054,-0.018401978569082177
0.05,3000,0.16,-1.916146617408537E8,0.061481760479174974,1.8468492371538992E9,-1.538510886797043E8,-3.4523484074240685E8,3000,6,60,-291.2014651659091,639.3471508367386,-0.0037675914935886537
0,1500,0.45,1574637.1391891541,0.03284846152214032,3.0121164594884828E7,-2.2038521156910356E7,-2.043440936926545E7,1500,6,60,-124.66810560996629,81.65013207544604,-0.0014507178466794625
0.01,1500,0.45,1278752.4966184008,0.02878490892245178,2.308411149258959E7,-2.133075089751312E7,-2.0026324303418625E7,1500,6,60,-113.70721792996756,71.47885606949953,-0.003637470927037522
0.02,1500,0.45,931519.8521517059,0.024263129484038446,1.6239618953907661E7,-1.9599888135511864E7,-1.8647446258311387E7,1500,6,60,-99.7677431859994,59.95272522932224,-0.004065729680617924
0.03,1500,0.45,570600.343365629,0.01926041512959386,1.0044616959921049E7,-1.6715399216490492E7,-1.6129383437584236E7,1500,6,60,-82.46570983675207,47.150651936690004,-0.0026076474449375376
0.04,1500,0.45,254045.4788984265,0.013759239533822283,4984343.572556061,-1.2635590851491988E7,-1.2371984151972404E7,1500,6,60,-61.444971782407556,33.214291839230356,-0.0013127081905646746
0.05,1500,0.45,49206.22196610659,0.007748590988829905,1521127.1873698717,-7462952.282024014,-7409702.263288919,1500,6,60,-36.4485810097853,18.348635619806913,7.786580683304371E-4
0,1800,0.45,2267472.1952835517,0.03284869719235749,4.3374553298225716E7,-3.17354563428775E7,-2.9425540558343872E7,1800,6,60,-149.60179475505177,97.9802446480965,-0.005890495222581016
0.01,1800,0.45,1841404.7985038077,0.028784908698579317,3.3241121389003284E7,-3.0716294497314908E7,-2.8837918997229848E7,1800,6,60,-136.44871870456998,85.77462836673035,-0.00440247575071973
0.02,1800,0.45,1341388.6333241253,0.024263129139171627,2.338505129868134E7,-2.8223840281425677E7,-2.6852323932014644E7,1800,6,60,-119.72129780899499,71.94327028295487,-0.004875566310038423
0.03,1800,0.45,821664.5403999086,0.019260417270734333,1.4464248689155536E7,-2.4070175265586182E7,-2.322631249733459E7,1800,6,60,-98.95885348283696,56.58078284599581,-0.0031330956081064842
0.04,1800,0.45,365825.5012584402,0.013759239991500383,7177454.757113018,-1.8195252197349735E7,-1.7815658538361013E7,1800,6,60,-73.73397190380301,39.85715024215015,-0.00157560262551481
0.05,1800,0.45,70856.96693977968,0.007748591033933612,2190423.1492205304,-1.0746651980944267E7,-1.0669971946657833E7,1800,6,60,-43.73830009534418,22.018362740787932,9.344895301855099E-4
0,2100,0.45,3086281.1754195145,0.03284869620856082,5.903758576132192E7,-4.319547697601172E7,-4.005142536139512E7,2100,6,60,-174.53540582073208,114.31028477185096,-0.006844573158262707
0.01,2100,0.45,2506356.4587402306,0.028784909033408215,4.524485977825906E7,-4.1808287789103575E7,-3.9251610097624406E7,2100,6,60,-159.1901644351675,100.07039988271647,-0.005127977850088243
0.02,2100,0.45,1825778.9377766764,0.024263128779845385,3.1829652995174553E7,-3.8415784876648776E7,-3.654899876979029E7,2100,6,60,-139.67485587236385,83.93381511736247,-0.005694424552844837
0.03,2100,0.45,1118376.6848731572,0.019260416950862724,1.968744945606675E7,-3.2762180148624193E7,-3.1613589209639695E7,2100,6,60,-115.45198532715048,66.01091307117412,-0.0036527409708177806
0.04,2100,0.45,497929.1700178157,0.013759240263745504,9769313.43218198,-2.4765756773083888E7,-2.4249087610536795E7,2100,6,60,-86.022955734104,46.500008646251224,-0.0018383250440219628
0.05,2100,0.45,96444.23073779313,0.007748588274902592,2981409.2427167846,-1.4627400220083354E7,-1.4523030147810789E7,2100,6,60,-51.028062607575514,25.688089675895434,0.0010896475252446386
0,2400,0.45,4031060.8388853855,0.03284869888126526,7.71103175538873E7,-5.641857307748488E7,-5.231205697025047E7,2400,6,60,-199.46900453318668,130.64032668815523,-0.007810423765923976
0.01,2400,0.45,3273608.4147159113,0.02878490837142732,5.909532695613267E7,-5.46067444378254E7,-5.126741033152514E7,2400,6,60,-181.93162040338518,114.36617119661769,-0.005857885127803519
0.02,2400,0.45,2384690.802335301,0.024263129071883598,4.157342443858995E7,-5.0175716335573E7,-4.773746514923125E7,2400,6,60,-159.62839797069603,95.92436027068526,-0.006504034082851511
0.03,2400,0.45,1460736.9149510954,0.019260417722180467,2.5714219847711403E7,-4.279141789964575E7,-4.12912174686538E7,2400,6,60,-131.9451227183001,75.44104372993853,-0.004175559855095588
0.04,2400,0.45,650356.3544644337,0.01375923868690386,1.2759919522056071E7,-3.2347110151554342E7,-3.1672277072352577E7,2400,6,60,-98.31194730141554,53.14286689343966,-0.002101561382399824
0.05,2400,0.45,125967.94943397534,0.007748591297045315,3894085.6043162993,-1.9105158996350773E7,-1.8968838927160587E7,2400,6,60,-58.31773319033302,29.357817009210052,0.0012461171647303578
0,2700,0.45,5101811.031692984,0.03284869915674403,9.759274577058953E7,-7.14047581055146E7,-6.620744900010742E7,2700,6,60,-224.4026357613141,146.9703676118637,-0.008782616224061018
0.01,2700,0.45,4143160.874073846,0.028784908304670773,7.479252308081573E7,-6.911166156910537E7,-6.488531661671911E7,2700,6,60,-204.67307458762872,128.66194251186283,-0.006588629315989725
0.02,2700,0.45,3018124.3177965796,0.024263128930654312,5.261636529778462E7,-6.350363950327124E7,-6.04177278242397E7,2700,6,60,-179.58194342014633,107.91490529702502,-0.00731938301241286
0.03,2700,0.45,1848745.112825757,0.01926041488427608,3.2544558837833866E7,-5.415789224176277E7,-5.225920111800512E7,2700,6,60,-148.4382741856855,84.87117333959796,-0.004692580705181467
0.04,2700,0.45,823107.3154523004,0.013759238517391975,1.6149273179054104E7,-4.093931224556493E7,-4.008522657495177E7,2700,6,60,-110.60094334417225,59.78572531796905,-0.0023641541726185005
0.05,2700,0.45,159428.18817356013,0.007748590421867675,4928452.077821048,-2.4179969575653695E7,-2.4007439485964462E7,2700,6,60,-65.60745742769484,33.02754408462635,0.001401664773885818
0,3000,0.45,6298531.726917616,0.03284869842179219,1.2048487099025713E8,-8.815401752295189E7,-8.173758694042554E7,3000,6,60,-249.33624803149917,163.30040823299055,-0.009735431323515812
0.01,3000,0.45,5115013.13491551,0.028784908110827817,9.233644816756018E7,-8.532304002057578E7,-8.010533049280627E7,3000,6,60,-227.41453039599784,142.95771383986775,-0.0073381434244568075
0.02,3000,0.45,3726079.4031544393,0.024263128561974115,6.495847560732085E7,-7.839955964190602E7,-7.458979213882214E7,3000,6,60,-199.5355050063697,119.90545026639036,-0.008141385116124101
0.03,3000,0.45,2282401.438563968,0.01926041507723419,4.017846791414028E7,-6.6861602276938766E7,-6.451753909581701E7,3000,6,60,-164.9314335226118,94.30130396076272,-0.005216881925123875
0.04,3000,0.45,1016181.9268320818,0.01375923988161764,1.993737431988475E7,-5.054235846425494E7,-4.9487931654886365E7,3000,6,60,-122.88993096367722,66.42858372787623,-0.0026252500670700825
0.05,3000,0.45,196824.88294353595,0.007748590830237014,6084508.741385016,-2.985181046735571E7,-2.9638810397367846E7,3000,6,60,-72.89716538953203,36.69727121519737,0.0015573804012731477
