% sig_b (S/m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
50,0.08,0.12,2363223825.83262,-45305209.380093,-481495564.125813,-523698522.322486,0.163334403255536,1800,6,50,-2376.78989558593,721.834768581298,-0.043778750035621
50,0.08,0.16,2894930141.71807,9866188.43993375,-746653270.377924,-732547588.201182,0.183709262327433,1800,6,50,-2727.62872993608,798.922059118429,-0.029375288845132
60,0.08,0,1895277980.70617,-143463275.396307,-177262859.709806,-318799785.234111,0.129240491646591,1800,6,60,-1676.58622762294,646.430482004888,-0.047620344210232
60,0.08,0.04,2261315830.98323,-155772703.728939,-255308727.599906,-408792317.852347,0.139791155389278,1800,6,60,-1855.68912273703,706.099623927807,-0.049715910414607
60,0.08,0.08,2725602085.6813,-161714668.553331,-374529675.920677,-533427522.75073,0.152852849363471,1800,6,60,-2074.25991023977,775.205053278063,-0.049158564154029
60,0.08,0.12,3313855673.30926,-152014526.773232,-562652007.917323,-711041403.575228,0.169168533591666,1800,6,60,-2345.43864728246,854.775692587499,-0.043180326657507
60,0.08,0.16,4048033670.22953,-108225103.693184,-870049263.249482,-973334242.161076,0.189799813635548,1800,6,60,-2687.8634090015,944.729391028717,-0.028896602916654
70,0.08,0,2528975264.29317,-229932191.711522,-202741513.421851,-430470476.606723,0.134261772415434,1800,6,70,-1660.02665028786,746.719786547924,-0.047120998378727
70,0.08,0.04,3011905505.54138,-255976736.181299,-291473488.964588,-544836860.056895,0.145184087861193,1800,6,70,-1835.6869740692,814.903231089353,-0.049207246620406
70,0.08,0.08,3622653034.15373,-277742384.100682,-426681411.583516,-701214747.054766,0.158608234985136,1800,6,70,-2049.73915746103,893.714365844319,-0.049046233761933
70,0.08,0.12,4393843254.79374,-285357642.835328,-639446401.324752,-920684139.461332,0.175274251864617,1800,6,70,-2314.90373227028,984.255042818578,-0.042610904198112
70,0.08,0.16,5352613266.87767,-258350154.961531,-986095320.213126,-1238846455.1335,0.196182493983686,1800,6,70,-2649.24090717402,1086.34633045811,-0.028437101941361
80,0.08,0,3238853508.18101,-331454935.318937,-227194345.71437,-556180322.336868,0.139460518536173,1800,6,80,-1643.7910025315,845.047305628574,-0.04664492462636
80,0.08,0.04,3850460761.61431,-373745470.589921,-326045749.076982,-696867882.33037,0.150763384877856,1800,6,80,-1816.11143972385,921.386234551147,-0.048697336972714
80,0.08,0.08,4621710491.31988,-414431588.708744,-476307993.4033,-887157300.653634,0.164563191956984,1800,6,80,-2025.79179766897,1009.45447417587,-0.048379917325922
80,0.08,0.12,5592333755.67502,-443188235.794461,-712132518.506726,-1150732547.16275,0.181591947928911,1800,6,80,-2285.15367806754,1110.40628155877,-0.042054523662519
80,0.08,0.16,6794496820.06986,-437663314.887008,-1095263157.15911,-1526707613.87332,0.20278888255706,1800,6,80,-2611.71265849909,1223.95096331617,-0.028012241143057
90,0.08,0,4020152096.8679,-447111811.332403,-250666632.037579,-695054411.233068,0.144798257704958,1800,6,90,-1627.87343700937,941.470271024285,-0.046912470072469
90,0.08,0.04,4770940477.78535,-507905816.36705,-359101638.18463,-863787741.684642,0.156485877040559,1800,6,90,-1796.94901473202,1025.62209379898,-0.048199424081639
90,0.08,0.08,5715029291.55664,-570266036.2088,-523541560.647346,-1089870081.47789,0.170669062011836,1800,6,90,-2002.39754259777,1122.52132167848,-0.047764890599404
90,0.08,0.12,6899319137.48838,-623525018.869535,-780946963.883605,-1399440419.74913,0.188066123096132,1800,6,90,-2256.15860846839,1233.3560990008,-0.041516935203062
90,0.08,0.16,8360730140.57939,-643559696.357561,-1197989355.23794,-1834746933.27878,0.209560031139007,1800,6,90,-2575.23281046353,1357.71142192776,-0.027599692219364
100,0.08,0,4868384342.18698,-576037946.009504,-273200468.139669,-846269507.188816,0.150252566621652,1800,6,100,-1612.25737912557,1036.04303894322,-0.046360078218316
100,0.08,0.04,5767690427.48382,-657359180.915268,-390713043.987719,-1044569088.61752,0.162326065258894,1800,6,100,-1778.18675857926,1127.68119872524,-0.047706365506993
100,0.08,0.08,6895408043.50589,-743834861.773579,-568506289.494721,-1308065466.8721,0.176897052937133,1800,6,100,-1979.53745160681,1233.00646628392,-0.047178856106464
100,0.08,0.12,8305565003.21509,-824537928.145723,-846110513.542811,-1665197046.81538,0.194665228722522,1800,6,100,-2227.89014459156,1353.22483449928,-0.040991843825833
100,0.08,0.16,10039464174.9701,-873653041.901109,-1294678376.2769,-2160980320.95772,0.216458462411296,1800,6,100,-2539.7580362004,1487.7865757708,-0.027200462599721
