% Model,Evan_continuous_faraday_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 16 2020, 15:50"
% Table,Probe Table 1 - 
% mob_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","Hall parameter, Point: (0, 0, 0)","Ion-slip parameter, Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0.1,0,1.7635914160954785E8,176.31632916491003,123.42211547355471,0.1545031735691035,-266.20289054460653,4.2837034550996414E10,-3.208641611553573E8,-1.441102525412421E8,110,NaN,4.90617432223295E7,1800,6,0.6000000000000001,0,60
0.1,0.1,2.131144875483728E8,213.38281977795685,149.36880290693907,0.1739275260604806,-283.86445203145325,6.274125874922798E10,-3.983337297158151E8,-1.847030159146104E8,110,NaN,7.185827773712602E7,1800,6,0.6000000000000001,0.1,60
0.1,0.2,2.567350508911047E8,260.74969274665733,182.52579800509045,0.1980479215513206,-302.54058767350745,9.36875621829245E10,-4.974043157183907E8,-2.3998045597605732E8,110,NaN,1.0730143127607697E8,1800,6,0.6000000000000001,0.2,60
0.1,0.30000000000000004,3.0580905800392544E8,321.6490190804861,225.1555630317236,0.2283048496329134,-321.58727365927155,1.42560362274374E11,-6.226645545210114E8,-3.159176810548846E8,110,NaN,1.6327600546814576E8,1800,6,0.6000000000000001,0.30000000000000004,60
0.1,0.4,3.548252717353378E8,400.14438929131336,280.1026271378919,0.2664781146499272,-339.7217025414671,2.2063163897816464E11,-7.768170299595014E8,-4.206918792120787E8,110,NaN,2.526919272477194E8,1800,6,0.6000000000000001,0.4,60
0.1,0.5,3.8966591472745824E8,500.9461215653851,350.66423136167793,0.31468463491069204,-354.62793529887705,3.457931332760355E11,-9.563213970352896E8,-5.648337608754503E8,110,NaN,3.960408111966052E8,1800,6,0.6000000000000001,0.5,60
0.1,0.6000000000000001,3.805029577343934E8,628.6164236786224,440.03393889846814,0.3750046550347864,-362.4830599621892,5.445098930960288E11,-1.1433509741110508E9,-7.603066529993255E8,110,NaN,6.23633377919577E8,1800,6,0.6000000000000001,0.6000000000000001,60
0.1,0.7000000000000001,2.7468191097946274E8,785.5840620942506,549.91189574968,0.4484889251393445,-357.66472224039467,8.503929587537512E11,-1.295245334908315E9,-1.0171499152242013E9,110,NaN,9.739647344352226E8,1800,6,0.6000000000000001,0.7000000000000001,60
0.1,0.8,705792.5979048985,968.6731599476536,678.0749758486886,0.5336478080638446,-333.27445548161836,1.292971227530358E12,-1.3405211541037786E9,-1.3357106439008634E9,110,NaN,1.4808546628837368E9,1800,6,0.6000000000000001,0.8,60
0.1,0.9,-4.968131259506215E8,1165.0867315863907,815.5652396004218,0.6242862947883006,-283.2951505477974,1.8704704025921724E12,-1.2002224741388633E9,-1.693370834226315E9,110,NaN,2.1422710409072895E9,1800,6,0.6000000000000001,0.9,60
0.2,0,2.135105018998878E8,376.7583876263177,263.7323353710283,0.2747416939577659,-376.35456641699,1.9559609814228223E11,-5.569684345173701E8,-3.4190620810523325E8,110,NaN,2.2401843738557827E8,1800,6,1.2000000000000002,0,60
0.2,0.1,2.181381210235297E8,424.2187511456403,296.9547742618396,0.2978609628746555,-385.264876176672,2.479785121672709E11,-6.252149091389579E8,-4.0521444783107704E8,110,NaN,2.840126123605111E8,1800,6,1.2000000000000002,0.1,60
0.2,0.2,2.147568031613354E8,477.41439433875934,334.19193121594094,0.32347302041225484,-392.5264440864383,3.140691983286633E11,-6.979037639531084E8,-4.8091743806203336E8,110,NaN,3.5970702743440384E8,1800,6,1.2000000000000002,0.2,60
0.2,0.30000000000000004,1.9955398969947308E8,536.4538246511361,375.51976186784145,0.351606273344552,-397.51326833848765,3.96550972825081E11,-7.729887978420048E8,-5.707835134184123E8,110,NaN,4.541743425340957E8,1800,6,1.2000000000000002,0.30000000000000004,60
0.2,0.4,1.679114424134451E8,601.1342176661396,420.79628834258875,0.3821563103606409,-399.5119532269469,4.979402428412313E11,-8.473113103901634E8,-6.762867514104296E8,110,NaN,5.702966274488001E8,1800,6,1.2000000000000002,0.4,60
0.2,0.5,1.1472798239639562E8,670.8081076834198,469.56828213533254,0.414773609656126,-397.774314373588,6.200560278442133E11,-9.16521238123003E8,-7.982153479049382E8,110,NaN,7.101572258774129E8,1800,6,1.2000000000000002,0.5,60
0.2,0.6000000000000001,3.5062293472040735E7,744.2789835315199,520.9981807823139,0.44891197203280847,-391.5792749358546,7.633185900442478E11,-9.751205005297636E8,-9.360839013158962E8,110,NaN,8.742374689125268E8,1800,6,1.2000000000000002,0.6000000000000001,60
0.2,0.7000000000000001,-7.489884898629694E7,819.7154617553962,573.8040087494161,0.4836360212832947,-380.32832305136424,9.258925330419606E11,-1.0166811848858749E9,-1.0873918927105448E9,110,NaN,1.0604352561683198E9,1800,6,1.2000000000000002,0.7000000000000001,60
0.2,0.8,-2.1699484253641176E8,894.6830374006457,626.2816031120813,0.5177037271752453,-363.5962902748774,1.10299294529256E12,-1.0336063078322839E9,-1.246507647914257E9,110,NaN,1.2632703739929142E9,1800,6,1.2000000000000002,0.8,60
0.2,0.9,-3.925646189641341E8,966.2664387564795,676.3902623485563,0.549387088611627,-340.85962227035907,1.28655429427207E12,-1.0128429932174495E9,-1.4016006436546028E9,110,NaN,1.473505276188487E9,1800,6,1.2000000000000002,0.9,60
