% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 16 2020, 19:52"
% Table,Probe Table 1 - 
% beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0.1,0.6000000000000001,-2.5328471290757647E9,-1574.7754183715026,-1102.3489150050978,0.8040056049664511,115.4673527371694,3.4172093166863667E12,-1.3934510506100032E8,-2.672096632456852E9,110,NaN,3.913768723477599E9,1800,6,60
0.1,0.7000000000000001,-2.624505890193031E9,-1646.7658289957185,-1152.742482303796,0.8410075980284913,164.3865637799676,3.7367842262815264E12,-3.8540589779582447E8,-3.0097738313757377E9,110,NaN,4.2797815046889477E9,1800,6,60
0.1,0.8,-2.2993493591640134E9,-1718.8736378135447,-1203.2182287828439,0.8789189719419843,258.27956685627106,4.071198047269221E12,-1.2970600144290576E9,-3.5961223326467195E9,110,NaN,4.662789460007699E9,1800,6,60
0.1,0.9,1.0955799537458155E9,-1771.4310411604997,-1240.0086153706502,0.917668020822641,531.24350625008,4.323971562183112E12,-6.894551343034494E9,-5.797820833314868E9,110,NaN,4.952293843588414E9,1800,6,60
0.2,0,-1.5662540923049154E9,-1222.0856529645778,-855.4647080865984,0.6243007670926854,25.708381736423178,2.0579632682370928E12,1.8863596392969914E7,-1.5472706597900476E9,110,NaN,2.357008753886442E9,1800,6,60
0.2,0.1,-1.6859811963876357E9,-1269.7285265580833,-888.8149048108113,0.6486503583659288,43.27949270424582,2.221549944584346E12,1.0105767098744988E7,-1.6757537263723052E9,110,NaN,2.5443664361739187E9,1800,6,60
0.2,0.2,-1.8134572805526924E9,-1320.2442115635306,-924.1760806911894,0.674512492923008,64.09131946410658,2.4018333558272637E12,-6341572.713439228,-1.8196729786079955E9,110,NaN,2.7508470789718184E9,1800,6,60
0.2,0.30000000000000004,-1.9451717866165545E9,-1373.6711846680607,-961.5751695554201,0.701917184492587,89.41009084358598,2.6001589892875444E12,-3.72747739726899E7,-1.9823119591244943E9,110,NaN,2.9779916842233934E9,1800,6,60
0.2,0.4,-2.0721029583167825E9,-1429.8651124981745,-1000.9111374813585,0.7308306509579986,121.33174493382144,2.8172440315126704E12,-9.709429370869297E7,-2.169044928703286E9,110,NaN,3.2266216538441567E9,1800,6,60
0.2,0.5,-2.171614114165187E9,-1488.290774803479,-1041.809328210024,0.7610932482045126,163.60906612235166,3.0521783490367847E12,-2.190001823480235E8,-2.390425745939927E9,110,NaN,3.4956946016169367E9,1800,6,60
0.2,0.6000000000000001,-2.183989236299351E9,-1547.5419158987677,-1083.285357288561,0.7923217005410306,223.71330332634872,3.3000397383545396E12,-4.881857965417208E8,-2.6719088384970026E9,110,NaN,3.779573071844861E9,1800,6,60
0.2,0.7000000000000001,-1.9341220336398892E9,-1604.144861720561,-1122.9076393585005,0.8239560534387496,319.02257181711445,3.545859283923521E12,-1.1551878279995425E9,-3.088858405313297E9,110,NaN,4.061112995188008E9,1800,6,60
0.2,0.8,-8.189990242225819E8,-1649.3820517552538,-1154.5738481343067,0.858186165304778,501.534556990319,3.7486669427644824E12,-3.098767844150499E9,-3.9167637320892344E9,110,NaN,4.293390915120393E9,1800,6,60
0.2,0.9,3.924871692839811E9,-1669.5012263898639,-1168.657348252587,0.9510501296205371,1029.7095353657564,3.8406772470698174E12,-1.0492479822397331E10,-6.563773449578589E9,110,NaN,4.398771363859511E9,1800,6,60
0.30000000000000004,0,-1.5188278050806212E9,-1207.3926311578011,-845.179535680468,0.6171118732263255,33.165403181230886,2.00877534661056E12,1.3278302366832172E7,-1.5054014060007951E9,110,NaN,2.3006732674136734E9,1800,6,60
0.30000000000000004,0.1,-1.6300632960463676E9,-1255.5804996187424,-878.9112309185322,0.641921341841843,58.08648979872674,2.1723182554236213E12,-2640297.1391854445,-1.6325405045471494E9,110,NaN,2.487980822246098E9,1800,6,60
0.30000000000000004,0.2,-1.742004604578162E9,-1305.8940267835299,-914.1308955078113,0.667918517617295,87.77600991151867,2.3499044221941724E12,-3.268706663813764E7,-1.774507315881014E9,110,NaN,2.691372280251035E9,1800,6,60
0.30000000000000004,0.30000000000000004,-1.8465008653951325E9,-1358.0571078055225,-950.6452549824463,0.695043459373124,124.02418733043206,2.541384597812275E12,-8.86313204066151E7,-1.9349154157119644E9,110,NaN,2.9106767047241635E9,1800,6,60
0.30000000000000004,0.4,-1.9265454631955872E9,-1411.5229446137323,-988.0715485625941,0.7231758293460158,169.79226444285428,2.7454289690339805E12,-1.94012684630205E8,-2.120288334940305E9,110,NaN,3.1443710454218917E9,1800,6,60
0.30000000000000004,0.5,-1.9457955989586012E9,-1465.256396193262,-1025.6851735092916,0.7522012082061367,230.3698576290461,2.95843191862812E12,-3.988019585452667E8,-2.344233988229153E9,110,NaN,3.388325747891913E9,1800,6,60
