% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 17 2020, 08:57"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.1,0.2,-7.022604900910616E8,0.8541299940298118,3.8427605861757393E9,-241413.79834400132,-7.024856260215732E8,1800,6,60,-17.179003303963082,9224.603935522024,0.08613702367187945
0.1,0.4,-7.107173994939331E8,0.8590567801435429,3.887220007250936E9,-2707829.4757485534,-7.134095765934707E8,1800,6,60,-16.69365559275083,9277.813225550126,0.0789111112868143
0.1,0.6000000000000001,-6.940308031111988E8,0.8493764037847736,3.8001064752698708E9,-7254842.412915567,-7.012686717094425E8,1800,6,60,-19.144572688821235,9173.265160875613,0.06352066977793219
0.1,0.8,-5.931021308782899E8,0.7879483692289553,3.2703249195286946E9,-2.006690446731167E7,-6.131458418055389E8,1800,6,60,-31.142523884044476,8509.84238767264,0.0488158451451975
0.15000000000000002,0,-6.17106659018334E8,0.8054796249402185,3.4174683404987483E9,4226782.018317825,-6.128628395878472E8,1800,6,60,-25.837387690946166,8699.179949354415,0.09109002912579196
0.15000000000000002,0.2,-6.168045988596904E8,0.8053146975877055,3.416068984675294E9,2178829.841802622,-6.146086979088804E8,1800,6,60,-26.155223869540666,8697.39873394712,0.08321725035092212
0.15000000000000002,0.4,-5.988314108817803E8,0.7940911507443518,3.3215140530728827E9,-596095.2058642394,-5.994101565409061E8,1800,6,60,-27.72790070086631,8576.184428038972,0.07383338713299235
0.15000000000000002,0.6000000000000001,-5.428410263332345E8,0.7577185989304367,3.024205345544988E9,-4695173.745388934,-5.475188179955742E8,1800,6,60,-31.25344808767357,8183.360868448648,0.06084130963726732
0.15000000000000002,0.8,-3.896013333422176E8,0.6452726876247559,2.1932187393707867E9,-1.0808059185094953E7,-4.003959733520701E8,1800,6,60,-35.08462013134279,6968.945026347383,0.05371150997098926
0.2,0,-5.408199892606133E8,0.7579423274376199,3.0259914989728484E9,7102954.532539007,-5.337046357486554E8,1800,6,60,-25.74511092736399,8185.777136326261,0.11168040713878985
0.2,0.2,-5.240406212017884E8,0.7465307619065121,2.9355588954877696E9,5545473.608297203,-5.184830405372982E8,1800,6,60,-26.287703152524433,8062.532228590247,0.10517354149997214
0.2,0.4,-4.8548147845791113E8,0.7194303757854217,2.7262954759992943E9,3509563.4048211356,-4.819606302113478E8,1800,6,60,-26.995228274743994,7769.84805848249,0.09897148700158866
0.2,0.6000000000000001,-4.0635552307291746E8,0.6596595431498631,2.2921080209891176E9,736537.4033265595,-4.0560968515263444E8,1800,6,60,-27.187553601810528,7124.323066018435,0.09734680163581125
0.2,0.8,-2.4563583346322805E8,0.5148018982727283,1.3959686361073177E9,-3055916.1827632687,-2.486862831066162E8,1800,6,60,-24.026003938015524,5559.860501345504,0.10656600355537338
0.25,0,-4.6325579220266163E8,0.7039313892574477,2.610093375696116E9,8345995.091331646,-4.5490201715605223E8,1800,6,60,-21.66845911924669,7602.459003980354,0.16573579093109503
0.25,0.2,-4.3417754042569005E8,0.6819610867243198,2.449709407017581E9,7043122.351621098,-4.271271966321749E8,1800,6,60,-21.61446126954592,7365.179736622522,0.16137823780239846
0.25,0.4,-3.830135904015468E8,0.6412343326617644,2.1658526946776958E9,5268307.83318747,-3.7773902234482837E8,1800,6,60,-21.13674803613965,6925.330792747044,0.15756476293145436
0.25,0.6000000000000001,-2.9606717086666244E8,0.5647153443367434,1.679788325246608E9,2798959.434727237,-2.932634229769626E8,1800,6,60,-19.57088267706034,6098.925718836809,0.15155002894023464
0.25,0.8,-1.5360425669352892E8,0.40785834695761103,8.762218746699725E8,-475482.2213294486,-1.5407683604395455E8,1800,6,60,-15.361170189301056,4404.870147142245,0.12324756066702121
0.30000000000000004,0,-3.8952313233792645E8,0.6467336190914101,2.2031611079384937E9,7991825.030952986,-3.8152640831729734E8,1800,6,60,-16.76258042182274,6984.723086187158,0.22612543301746943
0.30000000000000004,0.2,-3.528447588168866E8,0.6159152071554537,1.9981920916317039E9,6751306.075931767,-3.4608902699604267E8,1800,6,60,-16.272612633838385,6651.884237278998,0.21645698887708004
0.30000000000000004,0.4,-2.96562242149516E8,0.5651590110824372,1.6824288023832827E9,5073573.681432455,-2.9148490032570636E8,1800,6,60,-15.287004994205931,6103.717319690315,0.20012708434575405
0.30000000000000004,0.6000000000000001,-2.1288084847893274E8,0.4794347605114749,1.210749835418454E9,2854175.5340783824,-2.100237320885579E8,1800,6,60,-13.424690724146846,5177.895413523947,0.1672130576576507
0.30000000000000004,0.8,-9.733228338390607E7,0.3248957665283825,5.560111315922498E8,201957.34872768537,-9.71283066756451E7,1800,6,60,-9.995287216850583,3508.87427850656,0.10124584534592815
0.35000000000000003,0,-3.2286641174330944E8,0.5893410388756227,1.8294845670065873E9,6773610.473967895,-3.1608945344203603E8,1800,6,60,-12.39332762306868,6364.883219856573,0.260237448794058
0.35000000000000003,0.2,-2.828742654639383E8,0.5519219445700048,1.6045405820879817E9,5612010.719388595,-2.7725922790937364E8,1800,6,60,-11.752391540273956,5960.757001355993,0.2375051594886086
0.35000000000000003,0.4,-2.2718047855268866E8,0.4949593472935576,1.2904299738785467E9,4122118.2685341835,-2.230557249342376E8,1800,6,60,-10.731736258438184,5345.56095077042,0.2019071327739807
0.35000000000000003,0.6000000000000001,-1.5274710460978028E8,0.40626296723889904,8.693804181157138E8,2298021.4874929716,-1.5044688623217884E8,1800,6,60,-9.150355297361815,4387.640046180072,0.15248419930961424
0.35000000000000003,0.8,-6.3144632862870425E7,0.2617070890426997,3.6076662641996986E8,318790.50505770784,-6.282415732879373E7,1800,6,60,-6.745555227143296,2826.4365616611253,0.07290971541923376
0.4,0,-2.6490390953254136E8,0.5339823984585975,1.5019285230300465E9,5294528.907589899,-2.5960682910457167E8,1800,6,60,-8.889592379096806,5767.009903352794,0.2664443179278727
0.4,0.2,-2.2490754796262786E8,0.49222816309424894,1.27622808778694E9,4290262.940848932,-2.2061492637697503E8,1800,6,60,-8.286623033966656,5316.064161417923,0.22961815075173225
0.4,0.4,-1.7332906502126366E8,0.4323572185544826,9.846475625083529E8,3077636.9032112,-1.7024927892649025E8,1800,6,60,-7.43883644072169,4669.457960388471,0.1824478225340651
0.4,0.6000000000000001,-1.1019269192196901E8,0.34500971586623647,6.269862728442885E8,1697966.4423567299,-1.0849279959450743E8,1800,6,60,-6.290519849139729,3726.1049313553167,0.12003110636915658
0.4,0.8,-4.2094306396132156E7,0.21359315978219995,2.403090146132234E8,290657.4463964845,-4.180210222555496E7,1800,6,60,-4.747026941938857,2306.806125647769,0.043735805972151716
0.45,0,-2.1595099768983153E8,0.48206737668903954,1.2240829981963253E9,3894173.0914283865,-2.1205464939861304E8,1800,6,60,-6.21126249972709,5206.327668241626,0.2418049087706692
0.45,0.2,-1.7812743782092828E8,0.43796476367387044,1.0103543679805408E9,3098538.060081961,-1.7502681964571384E8,1800,6,60,-5.732843087855427,4730.019447677755,0.2044283342419891
0.45,0.4,-1.3236513230519341E8,0.3776976164307874,7.514219371680218E8,2193196.962252337,-1.3016994597643316E8,1800,6,60,-5.129707823606326,4079.134257452479,0.15248826507361346
0.45,0.6000000000000001,-8.028803355084853E7,0.29433636242569644,4.5633441016775584E8,1216850.075776442,-7.906931550052924E7,1800,6,60,-4.39943293778864,3178.832714197473,0.09137543977105227
0.45,0.8,-2.8741795391994905E7,0.17620293684244498,1.6353912424009645E8,235802.74665238525,-2.849449117216272E7,1800,6,60,-3.3399800715722145,1902.9917178983894,-0.9893212994108734
