% Model,Evan_segmented_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 11 2021, 14:46"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z",chan_len/el_len (1),ins_seg_len/el_len (1)
0.15000000000000002,0.3,0,2.5687641966941654E10,-1.3586030930089253E8,3652149.0641032355,310672.6863449002,-1.3189748755044465E8,0.9047042437285819,1800,6,60,-0.1532241111409766,9770.634126118986,0.00449389466065494,5.5,0.5
0.15000000000000002,0.3,0.01,2.5606889340261078E10,-1.3517680754059917E8,3342952.672586479,351012.1234057001,-1.3148284274460652E8,0.8984815748648796,1800,6,60,-0.17718828297546116,9703.40438700685,0.005573082873666648,5.5,0.5
0.15000000000000002,0.9,0,9.687262913456263E9,-5.263719428414521E7,1370197.2799747188,1526130.3884427068,-4.974086661572815E7,0.5844016976069012,1800,6,60,-0.6230372558346224,6305.708871783404,0.011133272003037703,5.5,0.5
0.15000000000000002,0.9,0.01,6.951237491972664E9,-3.755386448399184E7,404565.45197721437,1457012.6948859808,-3.569228633712863E7,0.48870279537246303,1800,6,60,-0.8613387955015238,5272.331336424194,0.0071906741798274726,5.5,0.5
0.15000000000000002,1.6666666666666667,0,2.388708338646016E9,-1.3468184688379783E7,60613.27625168184,1142349.3464414491,-1.2265222065686656E7,0.3096595694067757,1800,6,60,-0.7627654301169645,3328.441857444395,0.004848308749628848,5.5,0.5
0.15000000000000002,1.6666666666666667,0.01,5.892194343353211E8,-3272677.1267533517,-179617.92542087034,426849.5781605494,-3025445.474013704,0.1505896966216644,1800,6,60,-1.0498525551320574,1616.9184509032764,-8.10439873002697E-4,5.5,0.5
0.2,0,0,3.093083745786745E10,-1.2658661948496628E8,2660251.68027083,9158.164477109995,-1.23917209640218E8,0.9807489570574915,1800,6,60,4.0973005572586796E-6,10592.088736220861,-0.025538702299142468,5.5,0.5
0.2,0,0.01,3.093083721278517E10,-1.2658662486243278E8,2660251.9216621104,9158.165215646823,-1.2391721477555543E8,0.9807489561834182,1800,6,60,4.097253302930678E-6,10592.088726780901,-0.025531164225279554,5.5,0.5
0.2,0.3,0,2.6438622374388477E10,-1.0926133934286939E8,3005116.7175910077,335932.65212177986,-1.0592028997315663E8,0.9245532578447082,1800,6,60,-0.051666656906689076,9985.07940864503,-0.015477819054089115,5.5,0.5
0.2,0.3,0.01,2.6444447587188488E10,-1.0910354075366296E8,2769632.3736219946,390433.0146922626,-1.0594347536534886E8,0.9194884281404095,1800,6,60,-0.059512786787315225,9930.363582150612,-0.014789247287989506,5.5,0.5
