% Model,Evan_segmented_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 12 2021, 13:52"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ey*ec.Jy (W), Faraday Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating"
0.1,0.45,0,0.850142263620985,1800,6,60,7.74668579390108E7,-7.747596862681837E7,-36249.97682990386,45674.10383423026,-7.746654449981391E7,0.004020369835018444
0.1,0.45,0.012,0.8750064176338149,1800,6,60,8.200461362968862E7,-8.20318090661978E7,-34295.74615162411,62633.61613045628,-8.200347119621852E7,0.004261180076809126
0.1,0.9,0,0.8497669511044467,1800,6,60,7.635137393726115E7,-7.656280649829887E7,-58796.814460338894,271645.7495244419,-7.634995756323533E7,0.004033271230657191
0.1,0.9,0.012,0.9021975909499006,1800,6,60,8.53020407965928E7,-8.578090642283358E7,-34594.218050930736,514698.9033094593,-8.530080173757507E7,0.004539795511292559
0.1,1.6666666666666667,0,0.8566447590410515,1800,6,60,7.435286410419464E7,-7.520713332735203E7,-167244.39133931886,1022796.4093845853,-7.435158130930644E7,0.0040673200214240025
0.1,1.6666666666666667,0.012,0.9722243206614348,1800,6,60,9.084624850351845E7,-9.314305710764429E7,-350580.7384339775,2648900.86089875,-9.084473698517926E7,0.005102096965701523
0.15000000000000002,0,0,0.8524111948050268,1800,6,60,7.809877012376875E7,-7.810191142778966E7,4414.168475653781,144.084983001726,-7.80973531743312E7,0.004014976942722635
0.15000000000000002,0,0.012,0.8524111834494839,1800,6,60,7.809876803972526E7,-7.810191639541031E7,4414.170250743794,144.08501559874202,-7.809735814014424E7,0.00401497683530077
0.15000000000000002,0.45,0,0.8501422597965458,1800,6,60,7.746685722150365E7,-7.747597014927344E7,-36250.01549789189,45674.1067146893,-7.746654605805682E7,0.004020369803067801
0.15000000000000002,0.45,0.012,0.8750064314067946,1800,6,60,8.200461625594367E7,-8.203180145345208E7,-34295.72664033651,62633.60350741529,-8.200346357658522E7,0.004261180205646166
0.15000000000000002,0.9,0,0.8497669374385471,1800,6,60,7.635137112313679E7,-7.656281184156133E7,-58797.04746565351,271645.7986699885,-7.634996309035747E7,0.004033271040047283
0.15000000000000002,0.9,0.012,0.9021975966795704,1800,6,60,8.530204210254501E7,-8.578090178013094E7,-34594.20823909588,514698.83787223586,-8.530079715049766E7,0.004539795514425729
0.15000000000000002,1.6666666666666667,0,0.856644762413017,1800,6,60,7.435286469907247E7,-7.520713176737486E7,-167244.54286007799,1022796.3560355912,-7.435157995419888E7,0.004067319981460245
0.15000000000000002,1.6666666666666667,0.012,0.9722243207340864,1800,6,60,9.084624855447833E7,-9.314305422421303E7,-350581.0068521667,2648900.706841519,-9.08447345242239E7,0.005102096941511025
0.2,0,0,0.8524112056704874,1800,6,60,7.809877211664882E7,-7.810190667399722E7,4414.167426982047,144.08497106737175,-7.80973484215988E7,0.0040149770446636455
0.2,0,0.012,0.8524112155238193,1800,6,60,7.809877391814438E7,-7.810190236033405E7,4414.16946795861,144.08499665956805,-7.809734410586934E7,0.004014977137600676
0.2,0.45,0,0.8501422722234587,1800,6,60,7.746685953957252E7,-7.747596528835858E7,-36249.89116208593,45674.099067341165,-7.746654108045305E7,0.004020369930087927
0.2,0.45,0.012,0.8750064314725998,1800,6,60,8.20046162647848E7,-8.203180099287626E7,-34295.80466123303,62633.60285263442,-8.200346319468439E7,0.004261180202519491
0.2,0.9,0,0.8497669448517637,1800,6,60,7.63513726602234E7,-7.656280920812336E7,-58796.86355317544,271645.7736983904,-7.634996029797822E7,0.004033271109801537
0.2,0.9,0.012,0.9021975954096741,1800,6,60,8.530204191924694E7,-8.57809033236159E7,-34594.02358246222,514698.8524497203,-8.530079849474885E7,0.004539795536455326
0.2,1.6666666666666667,0,0.8566447706735669,1800,6,60,7.435286702907781E7,-7.520712854142334E7,-167244.05647216004,1022796.243367884,-7.435157635452785E7,0.004067320118602058
