% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 10 2020, 15:21"
% Table,Probe Table 1 - 
% beta_e (1),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
1,0,-5.922323295075217E8,0.7905468578718227,3.2919301785675445E9,5296774.06252703,-5.869198035907223E8,1800,6,60,-26.508634216864117,8537.906065015799,0.09373825357637042
1.1,0,-5.667085337434675E8,0.7746644876830373,3.1609867574938164E9,6279590.8527973,-5.604148038070221E8,1800,6,60,-26.4249106459535,8366.376466976857,0.10153688906699324
1.2000000000000002,0,-5.408199949953036E8,0.7579423237206371,3.025991469293654E9,7102954.61200254,-5.337046414032348E8,1800,6,60,-25.745111487960507,8185.777096182868,0.1117023833414811
1.3,0,-5.148102427494303E8,0.7404975487248922,2.888302206505957E9,7726186.204131167,-5.070733599700849E8,1800,6,60,-24.631681889552944,7997.373526228883,0.12770916567432822
1.4000000000000001,0,-4.8889363354328316E8,0.7224522385221767,2.749246391828822E9,8137702.869822949,-4.8074679129164237E8,1800,6,60,-23.23307047436675,7802.484176039371,0.14466535314027043
1.5,0,-4.632557900997243E8,0.7039313914012846,2.6100933915943775E9,8345994.985386737,-4.5490201515931135E8,1800,6,60,-21.66845872175147,7602.459027133925,0.1657266376401364
1.6,0,-4.380558995025959E8,0.6850594271232854,2.4720194056230135E9,8370954.769529801,-4.2967831457091844E8,1800,6,60,-20.02498996976915,7398.641812931562,0.18722282701048415
1.7000000000000002,0,-4.13438200669216E8,0.665955685855936,2.3360710319909067E9,8242531.49994557,-4.051899914298939E8,1800,6,60,-18.37380295643975,7192.321407244105,0.20850913057587714
1.8,0,-3.895231314769657E8,0.6467336206610571,2.20316111863287E9,7991824.978316714,-3.815264075091516E8,1800,6,60,-16.762580241889307,6984.72310313949,0.22612444085720618
1.9000000000000001,0,-3.6640619748909986E8,0.627496469671908,2.074043950640466E9,7645812.255673237,-3.587561178466949E8,1800,6,60,-15.21652175217634,6776.961872456547,0.24106635394858417
2,0,-3.441677919411986E8,0.6083381584871391,1.9493305950339909E9,7232255.514187475,-3.369317787675845E8,1800,6,60,-13.757039978007183,6570.05211166118,0.2526071809905156
2.1,0,-3.228661111559389E8,0.5893410401747051,1.8294845750720606E9,6773405.534461959,-3.1608935779514146E8,1800,6,60,-12.39294712001387,6364.883233886797,0.2602778000499587
2.2,0,-3.025410560597879E8,0.5705767302154616,1.7148395583729765E9,6287685.783830056,-2.962503507165546E8,1800,6,60,-11.127205116608135,6162.228686326996,0.2626583150709247
2.3000000000000003,0,-2.832173108947369E8,0.5521066966066338,1.605614979506375E9,5790826.32368097,-2.774237264678282E8,1800,6,60,-9.960522102607003,5962.752323351646,0.26646680794144356
2.4000000000000004,0,-2.6490426902354902E8,0.5339822368623445,1.5019276139885767E9,5294779.930184411,-2.5960693764539853E8,1800,6,60,-8.890009581020765,5767.008158113263,0.26358698748108883
2.5,0,-2.475989532168131E8,0.5162458443661717,1.403810605401547E9,4808814.609486126,-2.4278774841707027E8,1800,6,60,-7.9114413445911556,5575.455119154583,0.2597190685901572
2.6,0,-2.3128846101989737E8,0.49893194252600237,1.311227351778483E9,4340244.275780271,-2.2694594995731056E8,1800,6,60,-7.020316825483485,5388.4649792808095,0.25383124770196325
2.7,0,-2.159504077686314E8,0.4820673911617693,1.2240830716959186E9,3893732.6132013546,-2.1205449998974192E8,1800,6,60,-6.210553252247277,5206.327824547175,0.24437958713981514
2.8000000000000003,0,-2.0155623005209088E8,0.46567292334272403,1.1422399737542572E9,3472769.9169728197,-1.9808134966947728E8,1800,6,60,-5.476637499656444,5029.267572101475,0.23705038813114873
2.9000000000000004,0,-1.880726068721973E8,0.44976341149906646,1.0655249573921477E9,3079875.9066716027,-1.84990662271287E8,1800,6,60,-4.813580213350854,4857.4448441899685,0.22436380931543543
3,0,-1.7546141611545375E8,0.4343483198154407,9.937374875266379E8,2715800.974166931,-1.727435686762269E8,1800,6,60,-4.215406166353726,4690.961854006797,0.21508388271011578
