% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 3 2020, 11:36"
% Table,Probe Table 1 - 
% u_x (m/s),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
2100,0.16,0.04,1.9781086300475056E9,3.785003860233422E8,-1.2373477855286713E9,-8.501602884570397E8,0.2091392534730541,2100,6,60,-4051.4968699413216,660.4051288865703,0.03110183040702159
2400,0.16,0.04,2.583652085831478E9,4.943678513727167E8,-1.616127719956023E9,-1.1104134378256435E9,0.20913925346446058,2400,6,60,-4630.282137192295,754.7487183778629,0.035549985123583885
2700,0.16,0.04,3.269934669213164E9,6.256843120854635E8,-2.045411645634776E9,-1.405367007121058E9,0.20913925345902662,2700,6,60,-5209.06740442341,849.0923079261829,0.039997418866826694
3000,0.16,0.04,4.036956382293912E9,7.72449767950508E8,-2.525199562493204E9,-1.7350209964833076E9,0.2091392534602943,3000,6,60,-5787.852671558773,943.4358977599272,0.0444399114277062
1500,0.16,0.08,1.1984769401426516E9,3.2286690892328584E8,-1.0601864264356462E9,-7.303385764172225E8,0.24686549522035076,1500,6,60,-3458.4031209278564,514.0438998049812,0.03401523669033835
1800,0.16,0.08,1.7258067937261517E9,4.649283488570471E8,-1.5266684540714464E9,-1.051687550037361E9,0.24686549521987422,1800,6,60,-4150.083745118973,616.8526797518144,0.04081912942887122
2100,0.16,0.08,2.3490148009232836E9,6.328191416685611E8,-2.0779653959055238E9,-1.4314636096897023E9,0.246865495213838,2100,6,60,-4841.764369403904,719.6614594579405,0.047626744751459504
2400,0.16,0.08,3.068100964533533E9,8.265392870764493E8,-2.7140772517947683E9,-1.8696667555138407E9,0.24686549521470996,2400,6,60,-5533.444993607263,822.4702393888603,0.05442744995968826
2700,0.16,0.08,3.8830652830744634E9,1.0460887852188832E9,-3.4350040218107433E9,-2.366296987442172E9,0.24686549521390294,2700,6,60,-6225.125617816601,925.2790192929916,0.061235412767735906
3000,0.16,0.08,4.793907757003099E9,1.291467636063487E9,-4.240745705933193E9,-2.921354305487713E9,0.24686549521444015,3000,6,60,-6916.80624201203,1028.0877992274338,0.0680350704152013
1500,0.16,0.12,1.3371003470305588E9,4.782054992258278E8,-1.8049629745312762E9,-1.3161418844428372E9,0.29644707035828327,1500,6,60,-4186.477065998984,542.9594163871976,0.013349223969095185
1800,0.16,0.12,1.9254244986020122E9,6.886159190053127E8,-2.5991466834218764E9,-1.8952443135738122E9,0.2964470703547368,1800,6,60,-5023.772479292392,651.5512994748019,0.016019800616109383
2100,0.16,0.12,2.6207166790643516E9,9.372827786018049E8,-3.5377274301778417E9,-2.5796380934846735E9,0.2964470703556351,2100,6,60,-5861.067892479141,760.143182780294,0.018689887043334973
2400,0.16,0.12,3.4229768916582737E9,1.2242060776769984E9,-4.620705214522961E9,-3.3693232242398353E9,0.2964470703639378,2400,6,60,-6698.363305395652,868.7350666332038,0.021350488186668026
2700,0.16,0.12,4.332205123246636E9,1.5493858176108177E9,-5.848080037577499E9,-4.2642997055710683E9,0.2964470703566717,2700,6,60,-7535.658718860241,977.3269493692305,0.02402999581932611
3000,0.16,0.12,5.348401382669769E9,1.9128219974791172E9,-7.219851898592499E9,-5.264567537659448E9,0.29644707035220585,3000,6,60,-8372.954132272484,1085.918832220869,0.026706793637471082
1500,0.16,0.16,1.3482098217387872E9,4.7303862673976314E8,-2.9505856233919735E9,-2.4666198687950716E9,0.3596798736823451,1500,6,60,-5057.414646949061,545.2103752738972,-2.76766945016152
