% Version,COMSOL 5.5.0.359,,,,,,,,,,,,
% Date,"Dec 7 2020, 20:08",,,,,,,,,,,,
% Model,Evan_continuous_faraday_v5.2.mph,,,,,,,,,,,,
% Table,Probe Table 1 - ,,,,,,,,,,,,
% sig_b (S/m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
60,0.45,0,573129272.562884,0.281450323449874,259209823.263972,-1008134945.92552,-433482715.843492,1800,6,60,-5191.32880359364,239.522733707339,0.009822280882535
60,0.45,0.01,632049102.808792,0.295608278203557,264364080.091263,-1173797049.15342,-539860194.91392,1800,6,60,-5454.92962294722,241.892406224143,0.013823710322373
60,0.45,0.02,689620863.494632,0.310656937860794,267804436.984008,-1366431813.8976,-674439828.754437,1800,6,60,-5732.98010674333,243.461277049398,0.020260482859764
60,0.45,0.03,740423512.953932,0.326600587491246,269306674.816877,-1587612932.91257,-844148240.406755,1800,6,60,-6024.73801776574,244.14316506119,0.026893628949333
60,0.45,0.04,773979040.516787,0.343431901869738,268709869.962197,-1834305150.00743,-1056269655.95036,1800,6,60,-6328.31038489793,243.872494739339,0.042549079221866
60,0.45,0.05,762768229.143002,0.361164092364955,265937018.588387,-2084295271.28375,-1315608995.84511,1800,6,60,-6637.9545159643,242.610956120056,0.078363048131941
90,0.45,0,809681781.025073,0.283069608396938,570499481.115747,-1479214477.84302,-667298098.920464,1800,6,90,-5134.39386261832,355.343715128681,0.009858463798999
90,0.45,0.01,895787271.596005,0.297103290411307,581717171.198522,-1721912386.64225,-823355865.238585,1800,6,90,-5394.51534864303,358.820257451371,0.014361623682292
90,0.45,0.02,980228297.920449,0.312013990621714,589203403.147216,-2004216627.87695,-1020510491.03082,1800,6,90,-5669.09642224922,361.12174054612,0.019101838037129
90,0.45,0.03,1055105074.5245,0.327805884023183,592472149.890158,-2328492338.43679,-1268926897.97125,1800,6,90,-5957.42111528283,362.122059659832,0.026904160442503
90,0.45,0.04,1105080349.66293,0.344473029469365,591173014.865259,-2690363800.30293,-1579333883.62507,1800,6,90,-6257.66158636926,361.72482271427,0.042490180472393
90,0.45,0.05,1089841560.56478,0.362031811574908,585140504.515012,-3057376512.05844,-1958854000.04782,1800,6,90,-6564.21082839202,359.874514915887,0.077537854637808
