% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 3 2020, 08:36"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.08,0.02,2.067526290676502E9,-1.500580490273757E8,-2.1232140672564706E8,-3.602875861332884E8,0.13423933573806315,1800,6,60,-1761.8607523733042,675.1665052800187,-0.04892591960872861
0.08,0.04,2.261316155031311E9,-1.5577275832909268E8,-2.5530874207989126E8,-4.087923872193151E8,0.13979115679367496,1800,6,60,-1855.6892527762245,706.0996745212636,-0.05013670405966987
0.08,0.06,2.47960664051602E9,-1.5996687340378892E8,-3.084116839585493E8,-4.658517379095741E8,0.145974613364832,1800,6,60,-1959.3258555962723,739.3954333972023,-0.050240678641044395
0.08,0.08,2.725602130674495E9,-1.617146630072488E8,-3.745296749488892E8,-5.3342751615508634E8,0.15285285247901836,1800,6,60,-2074.259954358922,775.2050596765029,-0.04923529417900112
0.08,0.1,3.002623044621859E9,-1.5969040306759414E8,-4.575373371662738E8,-6.140523661449028E8,0.1605450735357515,1800,6,60,-2202.2607287052206,813.6465275616868,-0.04694518389303533
0.08,0.12,3.3138557929873266E9,-1.520144609072922E8,-5.626520352070746E8,-7.11041364457973E8,0.16916854954992405,1800,6,60,-2345.438909303982,854.7757080225654,-0.04292318191129819
0.08,0.14,3.6619029359932976E9,-1.3605942011099178E8,-6.969450107814391E8,-8.288063200143617E8,0.17887067432261336,1800,6,60,-2506.308762641377,898.5428296392648,-0.03680708904914547
0.08,0.16,4.048034420886169E9,-1.0822508402594456E8,-8.700492902508186E8,-9.733342489159545E8,0.18979983277399995,1800,6,60,-2687.8636880368554,944.7294786213007,-0.0289247919528614
0.12,0,1.5208287307020364E9,2.5435561103853166E7,-3.787391720737769E8,-3.5025362908011883E8,0.15586592633559454,1800,6,60,-2373.2190498297928,579.0626090858774,-0.00888965225782811
0.12,0.02,1.6847960289632022E9,4.8513340228706546E7,-4.694960790635265E8,-4.1745321244237095E8,0.16504380861655837,1800,6,60,-2537.6425543978175,609.4794033474614,-0.005588887564152034
0.12,0.04,1.8678437402382085E9,8.066684816461915E7,-5.865997562324136E8,-5.0178666724583435E8,0.17546734241629894,1800,6,60,-2723.3023007960405,641.7348715143153,-8.867021078824103E-4
0.12,0.06,2.0698912545435667E9,1.2497644872893743E8,-7.390162822623543E8,-6.090884650165166E8,0.18732537499905574,1800,6,60,-2933.8154781145117,675.5525434250675,0.006160479553145004
0.12,0.08,2.2889927771272206E9,1.8520759230380455E8,-9.389858985940547E8,-7.477611304109535E8,0.2008456180485645,1800,6,60,-3173.3947365680215,710.407568646707,0.014845261439284017
0.12,0.1,2.52022729812683E9,2.6550559899061573E8,-1.2030979814298763E9,-9.301493677750599E8,0.21629881997496106,1800,6,60,-3446.842511936243,745.4271803536252,0.026747684899722606
0.12,0.12,2.7543723850927286E9,3.6941592536314327E8,-1.5534668917609026E9,-1.1746951964935126E9,0.23398480041009206,1800,6,60,-3759.4281955029364,779.2856810496298,0.03813993329828213
0.12,0.14,2.9767083220895066E9,4.975701201238144E8,-2.0186469798609853E9,-1.5091918218587513E9,0.2542264730440421,1800,6,60,-4116.553221575283,810.127751381491,0.049381137532431923
0.12,0.16,3.166722950221782E9,6.430335068370788E8,-2.6333362205189137E9,-1.9752493395965111E9,0.27735711171642524,1800,6,60,-4523.019224963095,835.5845540925066,0.055746464070272894
0.16,0,1.1886577716858714E9,1.5963775036308327E8,-5.579141852181858E8,-3.940013265888637E8,0.1805539870076034,1800,6,60,-2953.625842384775,511.9337779489873,0.013047291700117904
0.16,0.02,1.3170274439141638E9,2.112209214857563E8,-7.091838439860612E8,-4.927818574062578E8,0.19386592801879673,1800,6,60,-3196.0319698599546,538.8684797822543,0.01761486799244106
0.16,0.04,1.4533047981466618E9,2.7808186667867863E8,-9.090717878137646E8,-6.246075530209464E8,0.20913923219659364,1800,6,60,-3472.711611177739,566.0616361335227,0.02475820378525523
0.16,0.06,1.5923611565311525E9,3.626145243868046E8,-1.1743525346175683E9,-8.037622816413637E8,0.2266920416804485,1800,6,60,-3788.9406603356915,592.5242866775683,0.03289587762282344
0.16,0.08,1.7258070841697028E9,4.649283124683809E8,-1.5266683842873685E9,-1.0516875168511889E9,0.24686549311344308,1800,6,60,-4150.083705254249,616.8527316563496,0.038030519386267655
0.16,0.1,1.8417040767474065E9,5.7940491476709E8,-1.992283945110705E9,-1.4002697058196566E9,0.2700073797183518,1800,6,60,-4560.845831520249,637.2286496311737,0.038252858787785414
0.16,0.12,1.9254251244088979E9,6.886160413718041E8,-2.599146924732804E9,-1.895244432662988E9,0.2964471088106449,1800,6,60,-5023.772813368817,651.5514053582486,0.014719062458704026
0.16,0.14,1.962296956367171E9,7.529920488023071E8,-3.36594239118114E9,-2.5961392063425503E9,0.32639657352415663,1800,6,60,-5535.731845373396,657.7604154143844,-0.08547762570918431
0.16,0.16,1.9420048965199492E9,6.814713306664511E8,-4.2505439408995514E9,-3.5534103853748956E9,0.3597480805321532,1800,6,60,-6071.395127327138,654.3506360697642,-0.235053985892765
