% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 3 2020, 10:35"
% Table,Probe Table 1 - 
% u_x (m/s),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
1500,0.04,0.16,2.251971175202798E9,-3.6013908679759455E8,3.808026857488438E7,-3.214048451359174E8,0.10223666527028918,1500,6,60,-54.26999586386263,704.6391714324074,-0.1304181699333089
1800,0.04,0.16,3.242838491282101E9,-5.1860028490110826E8,5.483558674928589E7,-4.628229769068401E8,0.10223666526088385,1800,6,60,-65.123995037287,845.567005587217,-0.1565011681974443
2100,0.04,0.16,4.413863504453576E9,-7.058726102145656E8,7.463732640515311E7,-6.299534965592381E8,0.10223666527739472,2100,6,60,-75.97799420898362,986.4948401233793,-0.18258765694611107
2400,0.04,0.16,5.765046207733464E9,-9.219560621338532E8,9.748548755295384E7,-8.22796403478683E8,0.10223666526613404,2400,6,60,-86.83199338208766,1127.4226742150124,-0.20866917275236074
2700,0.04,0.16,7.296386609709167E9,-1.1668506414016802E9,1.2338007017948663E8,-1.0413516984208709E9,0.10223666527861952,2700,6,60,-97.68599255400956,1268.3505087566787,-0.23475622567541934
3000,0.04,0.16,9.007884696059841E9,-1.4405563467792192E9,1.5232107430684647E8,-1.2856193801253953E9,0.10223666525461164,3000,6,60,-108.53999172910535,1409.2783424931597,-0.26083033396849314
1500,0.16,0,4.945037784417542E8,-6.739835040178706E7,-1.5803975967637146E7,-8.266750208442172E7,0.06545191395125399,1500,6,60,-117.99643516731088,330.1947590899126,-0.012645154496124432
1800,0.16,0,7.120854398689195E8,-9.705362448153001E7,-2.275772539442391E7,-1.1904120290552805E8,0.06545191393406023,1800,6,60,-141.59572220427597,396.2337106054074,-0.01516926246337427
2100,0.16,0,9.692274064819839E8,-1.3210076685328302E8,-3.0975792895809468E7,-1.620283041505059E8,0.06545191395990257,2100,6,60,-165.19500923221727,462.27266290142205,-0.017705200901172575
2400,0.16,0,1.2659296726292953E9,-1.7253977701228234E8,-4.045817847744926E7,-2.1162880532011974E8,0.06545191394958462,2400,6,60,-188.79429626825416,528.3116145059637,-0.02023210740492487
2700,0.16,0,1.6021922431097107E9,-2.18370655387279E8,-5.12048821344784E7,-2.678427068383707E8,0.0654519139579533,2700,6,60,-212.3935832995892,594.3505665396056,-0.022764437477986135
3000,0.16,0,1.9780151131584988E9,-2.695934015527279E8,-6.321590387048148E7,-3.306700082831863E8,0.06545191394770601,3000,6,60,-235.99287033454138,660.3895180782347,-0.02528938291307936
1500,0.16,0.04,4.808541000215843E8,-6.7018139985692166E7,-2.9940163054880396E7,-9.644471738479227E7,0.061505949851527554,1500,6,60,-124.95560482111355,325.6057235091506,-0.016012740912650224
1800,0.16,0.04,6.924299044973121E8,-9.650612162080252E7,-4.311383479784828E7,-1.3888039307434613E8,0.06150594985965725,1800,6,60,-149.9467257831286,390.72686834252124,-0.01921685819403896
2100,0.16,0.04,9.424740369949299E8,-1.3135555445653166E8,-5.868271958619047E7,-1.890316461574281E8,0.061505949863704536,2100,6,60,-174.9378467478528,455.84801314318486,-0.02242100132331425
2400,0.16,0.04,1.2309864992916756E9,-1.715664386508945E8,-7.664681741391613E7,-2.46898476786137E8,0.06150594988313681,2400,6,60,-199.92896770507784,520.9691582994687,-0.025629800482177653
2700,0.16,0.04,1.5579672855619972E9,-2.1713877368609983E8,-9.700612829548322E7,-3.124808844569154E8,0.06150594986304275,2700,6,60,-224.92008867548677,586.0903025971191,-0.028827221762392746
3000,0.16,0.04,1.9234164010949378E9,-2.6807256003264442E8,-1.1976065221764772E8,-3.8577886962720597E8,0.061505949857859156,3000,6,60,-249.9112096404052,651.2114471890268,-0.03202640602156425
1500,0.16,0.08,3.8127675171928453E8,-5.4063615143531814E7,-4.521386123803165E7,-9.885552529546234E7,0.05314877404184543,1500,6,60,-123.62915582618524,289.93826192506845,-0.028054833608193105
1800,0.16,0.08,5.490385221844193E8,-7.785160578092992E7,-6.510796018392629E7,-1.423519564008641E8,0.05314877403616621,1800,6,60,-148.35498699286228,347.9259142177739,-0.033664638816093766
2100,0.16,0.08,7.473024331481392E8,-1.0596468566180892E8,-8.861916802716257E7,-1.9375682956020868E8,0.05314877403878424,2100,6,60,-173.08081815721084,405.91356663490336,-0.03927542368810569
2400,0.16,0.08,9.76068484688091E8,-1.3840285479282776E8,-1.1574748476809096E8,-2.5307014478051078E8,0.053148774045078596,2400,6,60,-197.80664932067899,463.9012191482521,-0.0448881428833315
2700,0.16,0.08,1.2353366750445204E9,-1.7516611301871848E8,-1.464929104128541E8,-3.2029190191259235E8,0.05314877403739296,2700,6,60,-222.53248048832958,521.8888713540321,-0.050496547613862554
3000,0.16,0.08,1.525107006082611E9,-2.162544605040844E8,-1.8085544495496863E8,-3.954221011146328E8,0.053148774036309104,3000,6,60,-247.25831165436486,579.8765236991021,-0.05610728756379781
1500,0.16,0.12,1.8884952679967335E8,-2.7314826725418508E7,-4.978968493381163E7,-7.688825357354623E7,0.03735279241813317,1500,6,60,-101.67921262820398,204.05315735722175,-0.060057875792034345
1800,0.16,0.12,2.719433184379207E8,-3.9333350471178256E7,-7.16971463055586E7,-1.107190851333549E8,0.03735279241358503,1800,6,60,-122.0150551546878,244.86378875950484,-0.07206821693927953
2100,0.16,0.12,3.701450724201318E8,-5.353706037251322E7,-9.758778247096749E7,-1.507009769955448E8,0.03735279241581466,2100,6,60,-142.35089768017443,285.67442025873225,-0.0840798345771656
2400,0.16,0.12,4.834547882422311E8,-6.992595638530095E7,-1.2746159343212488E8,-1.9683392911808342E8,0.03735279241206322,2400,6,60,-162.68674020611877,326.48505164832824,-0.09608969593712546
2700,0.16,0.12,6.118724667031324E8,-8.850003857933982E7,-1.6131857918604025E8,-2.49117941567768E8,0.03735279241647759,2700,6,60,-183.02258273110877,367.29568320463505,-0.1081025377599302
3000,0.16,0.12,7.553981073233955E8,-1.0925930691270776E8,-1.991587397344455E8,-3.075530143044191E8,0.03735279241944273,3000,6,60,-203.35842525596098,408.1063147481241,-0.12011592061738349
1500,0.16,0.16,1.6221089845433543E7,-2440931.0498944027,-2.2085085891304605E7,-2.4510276037469145E7,0.011873449148247915,1500,6,60,-39.43624146127791,59.8033322347242,-0.034414231840558564
1800,0.16,0.16,2.3358369359579757E7,-3514940.710684002,-3.1802523678012967E7,-3.529479748733618E7,0.011873449142714761,1800,6,60,-47.32348974558434,71.76399865425691,-0.04129665862120973
2100,0.16,0.16,3.1793336107714754E7,-4784224.858888243,-4.328676833119125E7,-4.8040141018786326E7,0.011873449148863773,2100,6,60,-55.210738025771505,83.72466514265622,-0.04818007003576559
2400,0.16,0.16,4.1525989997245476E7,-6248783.487542094,-5.653781987668214E7,-6.27463066506926E7,0.011873449145330865,2400,6,60,-63.09798633264087,95.6853315674202,-0.05506237311063153
2700,0.16,0.16,5.255633109732861E7,-7908616.60197941,-7.155567827708596E7,-7.941329435100406E7,0.011873449146690697,2700,6,60,-70.98523461988765,107.64599802058001,-0.061945447551909505
3000,0.16,0.16,6.488435936260382E7,-9763724.197631301,-8.834034358581167E7,-9.804110416850893E7,0.011873449147855838,3000,6,60,-78.87248294096312,119.60666445181513,-0.06882801133299779
