% Model,Evan_continuous_faraday_v5.2.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 7 2020, 16:46"
% Table,Probe Table 1 - 
% mob_i (m^2/(V*s)),u_x (m/s),mob_e (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.02,1500,0.45,6.456847535465413E8,0.3109412327064677,1.853067866783272E8,-1.0266170745823609E9,-3.7851375187749404E8,1500,6,60,-4800.850206513768,202.1510717541775,0.0034802593950222964
0.03,1500,0.45,7.197191363614299E8,0.32685401370845607,1.863536386825882E8,-1.2177176386767514E9,-4.9493518297618E8,1500,6,60,-5047.096455600684,202.72127271369789,0.0028692831684448755
0.04,1500,0.45,7.908690592401278E8,0.34363533435994476,1.859477204786287E8,-1.4451462992342026E9,-6.504375144802486E8,1500,6,60,-5305.071462999091,202.5003671465101,0.002800981702075879
0.05,1500,0.45,8.452893987675606E8,0.36126008455042324,1.8403368515076655E8,-1.7070674110160592E9,-8.570235797944983E8,1500,6,60,-5573.579288752939,201.45546206322462,0.003050108043740606
0,1800,0.45,7.313052567851129E8,0.28177596832106017,2.5825585278568253E8,-1.0585539432403368E9,-3.2510355168770397E8,1800,6,60,-5214.695359765893,238.64672118566295,0.004576201811437102
0.01,1800,0.45,8.268785208863457E8,0.2959167020529411,2.6340280714316607E8,-1.2491107787468464E9,-4.1949735232774407E8,1800,6,60,-5480.312400007833,241.0130646373042,0.0046443914538334425
0.02,1800,0.45,9.297860451257585E8,0.3109412326918754,2.6684177269661742E8,-1.4783285873877993E9,-5.450598026739881E8,1800,6,60,-5761.020247709774,242.58128605036066,0.004176312452277468
0.03,1800,0.45,1.0363955563504163E9,0.3268540137056302,2.6834923967793742E8,-1.7535133996901789E9,-7.127066634913259E8,1800,6,60,-6056.515746720671,243.2655272451482,0.003443139550751017
0.04,1800,0.45,1.138844649078594E9,0.3436361015582717,2.6776478832355678E8,-2.0810062294766276E9,-9.366323846781579E8,1800,6,60,-6366.085361694284,243.00047271552285,0.0034077555611917772
0.05,1800,0.45,1.2172068901258185E9,0.3612612813254585,2.650083882845929E8,-2.458164752979224E9,-1.2341114929985886E9,1800,6,60,-6688.274486347164,241.74650050255073,0.0037906833131661492
0,2100,0.45,9.953888001864667E8,0.28177615279979995,3.5151469424940866E8,-1.440810747164076E9,-4.425021786619879E8,2100,6,60,-6083.816622212265,278.4210889813095,0.0054690262826675535
0.01,2100,0.45,1.1254735421553724E9,0.2959167020714778,3.5852048714422387E8,-1.7001785604261754E9,-5.709825079625804E8,2100,6,60,-6393.6978035771435,281.18190860386994,0.0054184304776006284
0.02,2100,0.45,1.265545043867029E9,0.3109409814699439,3.6320313967219657E8,-2.0121680334456663E9,-7.418825951475396E8,2100,6,60,-6721.174707433549,283.0122164622738,0.004536217153309441
0.03,2100,0.45,1.4106494872050714E9,0.3268540118124021,3.6525313149448186E8,-2.386726562616852E9,-9.700729695315263E8,2100,6,60,-7065.935041101402,283.8097816735208,0.004016968014873981
0.04,2100,0.45,1.5501033430370772E9,0.3436353373601048,3.644575341140579E8,-2.8324867349655876E9,-1.2748575299330556E9,2100,6,60,-7427.100037162373,283.50051477363587,0.003921205099534528
0.05,2100,0.45,1.6567672203058565E9,0.3612600849175356,3.607060228433511E8,-3.345852124794445E9,-1.6797662168786387E9,2100,6,60,-7803.01100494572,282.0376468681249,0.0042701818223908105
0,2400,0.45,1.3001018267217221E9,0.2817765496518382,4.591212359617142E8,-1.8818771725366554E9,-5.779617672319384E8,2400,6,60,-6952.940330823853,318.1955311853674,0.006270784973969596
0.01,2400,0.45,1.4700062584397223E9,0.29591670179525975,4.682716566446274E8,-2.2206413838954577E9,-7.457730711771766E8,2400,6,60,-7307.0831994873515,321.35075267867563,0.006192491574211241
0.02,2400,0.45,1.652952969137028E9,0.3109412326923942,4.7438537365364295E8,-2.628139710965332E9,-9.6899520478344E8,2400,6,60,-7681.36033042073,323.4417147238671,0.005568411354304305
0.03,2400,0.45,1.84248099041092E9,0.3268540138506931,4.770653147368753E8,-3.117357155638528E9,-1.2670340677178814E9,2400,6,60,-8075.35432885505,324.3540362431271,0.004590849703968797
0.04,2400,0.45,2.0246127094569008E9,0.3436361015657658,4.7602629042712665E8,-3.699566630175357E9,-1.6651242394382443E9,2400,6,60,-8488.113815609107,324.0006303126364,0.004543675010843423
0.05,2400,0.45,2.1639233618578873E9,0.3612612813700102,4.7112602392357016E8,-4.370070674170121E9,-2.1939759881245656E9,2400,6,60,-8917.699318202145,322.32866744165153,0.005054204637915638
0,2700,0.45,1.645444529532628E9,0.28177701873622474,5.810752956073202E8,-2.381753560358571E9,-7.314824656690322E8,2700,6,60,-7822.066825910009,357.9699668373973,0.0070824033284487215
0.01,2700,0.45,1.8604766694807096E9,0.2959167014875218,5.926563155259011E8,-2.8104992498561664E9,-9.438690429320534E8,2700,6,60,-8220.468594329892,361.51959678936805,0.006966546722199567
0.02,2700,0.45,2.092018601491278E9,0.310941232693174,6.003939884097644E8,-3.3262393216251354E9,-1.22638455606097E9,2700,6,60,-8641.530371708253,363.87192902781413,0.00626447930731216
0.03,2700,0.45,2.331890003464986E9,0.3268540138499444,6.037857890635589E8,-3.9454051500861707E9,-1.603589991960541E9,2700,6,60,-9084.773619944905,364.8982908037099,0.005164705671496105
0.04,2700,0.45,2.562417244804725E9,0.34363512598608603,6.024704087553159E8,-4.682275320203539E9,-2.107417363496956E9,2700,6,60,-9549.12959438957,364.5005986696686,0.005055634412456447
0.05,2700,0.45,2.738737651807309E9,0.36126008455423975,5.962691397982424E8,-5.530898411378607E9,-2.7767563984205275E9,2700,6,60,-10032.442719292785,362.6198316863767,0.005490193059805614
0,3000,0.45,2.031416368790077E9,0.28177743359968294,7.173768494533432E8,-2.940439445124346E9,-9.030643490999157E8,3000,6,60,-8691.193895388673,397.7443913238406,0.007899540516870378
0.01,3000,0.45,2.296900841289146E9,0.29591892418777216,7.316725150664302E8,-3.469769083897122E9,-1.1652712619255223E9,3000,6,60,-9133.896923087574,401.6879060076511,0.0074435152450143816
0.02,3000,0.45,2.582738995026237E9,0.3109412393401235,7.412270263591652E8,-4.1064683487332993E9,-1.514055077135003E9,3000,6,60,-9601.70072710034,404.30211068496146,0.006978175205407588
0.03,3000,0.45,2.8788765468573647E9,0.3268540138715067,7.454145543392773E8,-4.8708705560619E9,-1.9797407318465178E9,3000,6,60,-10094.1929136855,405.4425453210743,0.005738547272243495
0.04,3000,0.45,3.1634573584861083E9,0.3436361015606672,7.437910790075091E8,-5.780572859599991E9,-2.601756624114629E9,3000,6,60,-10610.142269454183,405.00078794939765,0.00567959362797607
0.05,3000,0.45,3.3811575908101726E9,0.36126008527435827,7.361347400947535E8,-6.828269642616115E9,-3.42809432199594E9,3000,6,60,-11147.158582250928,402.91092398733247,0.006100286581284531
