% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 16 2020, 18:50"
% Table,Probe Table 1 - 
% beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0.5,0.4,-1.656656087630247E9,-1363.3439451503377,-954.3460614266058,0.7036419896301029,215.5818930760178,2.5612100373836313E12,-2.9694748340059394E8,-1.9529555977219744E9,110,NaN,2.9333830063091063E9,1800,6,60
0.5,0.5,-1.6184581771017494E9,-1419.5855530359752,-993.7154054606135,0.7377539093929936,296.2786417355514,2.776882282917408E12,-5.571826035788445E8,-2.1746869365088353E9,110,NaN,3.1803948837994704E9,1800,6,60
1,0,-8.030028613776476E8,-875.3384242567254,-612.7402999962713,0.44725478204183666,-20.259995694957617,1.0558113187110762E12,1.300140322606293E7,-7.898791400064042E8,110,NaN,1.2092327200699544E9,1800,6,60
1,0.1,-8.503756421188867E8,-911.107999390146,-637.7791415719772,0.4661216160977688,-0.08332939360232945,1.143863091747131E12,4878635.916466683,-8.452978233521385E8,110,NaN,1.3100794178922107E9,1800,6,60
1,0.2,-8.921553791914555E8,-946.8564551873029,-662.8031995179381,0.4853154325887435,23.190663437225083,1.2353858321519717E12,-1.251335936609362E7,-9.043564981196558E8,110,NaN,1.4149014541468606E9,1800,6,60
1,0.30000000000000004,-9.249652321077614E8,-982.0497515665918,-687.4386437003576,0.5047192046488101,49.76438920528535,1.3289275594692686E12,-4.299588506594246E7,-9.674850442064545E8,110,NaN,1.522035859091506E9,1800,6,60
1,0.4,-9.450094553717626E8,-1016.0511247712604,-711.2397370115141,0.524145435506722,79.70280596803907,1.4225431530116838E12,-9.123689962979381E7,-1.0355359774646393E9,110,NaN,1.629254863864498E9,1800,6,60
1,0.5,-9.485432447637796E8,-1048.0835168382869,-733.6625358560939,0.5434975157958433,112.82084883927884,1.513652245698812E12,-1.625565632024569E8,-1.110060943163695E9,110,NaN,1.7336031446801054E9,1800,6,60
1.5,0,-3.684621599871528E8,-581.8813663465131,-407.3192187054005,0.29697927287497144,-30.755314349208728,4.665554077939351E11,5908121.70927539,-3.625418951790201E8,110,NaN,5.3435121866163075E8,1800,6,60
1.5,0.1,-3.771225375401203E8,-594.836637921844,-416.38795911703806,0.30364897074398745,-21.331323982768048,4.875618859817183E11,6206817.325233757,-3.708895775190542E8,110,NaN,5.584101772160003E8,1800,6,60
1.5,0.2,-3.819567277062747E8,-606.1408664375377,-424.3009629612778,0.30959834069080544,-10.90348295980243,5.0626914367143774E11,4045053.562944322,-3.7786436153118485E8,110,NaN,5.798358123652856E8,1800,6,60
1.5,0.30000000000000004,-3.820662786807762E8,-615.3315839463386,-430.7345008773633,0.31464642669618426,0.5109020670310497,5.2173832824951404E11,-1287364.4943639305,-3.832772458259142E8,110,NaN,5.975528455255725E8,1800,6,60
1.5,0.4,-3.7660780386758006E8,-621.9148987163652,-435.34284673377783,0.3185449011248853,12.857344534619907,5.3296200567202594E11,-1.0521371053077223E7,-3.8701562701993316E8,110,NaN,6.104074510202172E8,1800,6,60
1.5,0.5,-3.649005803453875E8,-625.374445675902,-437.7645429731262,0.32105597611972614,26.039873240020693,5.389079490607002E11,-2.434155564165614E7,-3.890846139085563E8,110,NaN,6.1721740765721E8,1800,6,60
