% Model,Evan_continuous_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 3 2020, 08:49"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.08,0.02,1.7355420682531319E9,-2.617497983576192E8,2.052652082651306E7,-2.403211529074572E8,0.0848950443159694,1800,6,60,-99.05414351159392,618.5900657530159,-0.07702449960692634
0.08,0.04,1.8598789260404005E9,-2.8290229307604444E8,1.725094547886725E7,-2.6473111751955953E8,0.08603049362912132,1800,6,60,-103.47851927956351,640.3651746244356,-0.08120433846022171
0.08,0.06,1.990922032975801E9,-3.0531461175462174E8,1.3029940306620542E7,-2.913458092446125E8,0.08716755377433845,1800,6,60,-108.18584769182874,662.5405975055231,-0.08449195127923721
0.08,0.08,2.1266637262023547E9,-3.286664045069582E8,7631768.554035068,-3.2007681833325034E8,0.08827157040452682,1800,6,60,-113.17179641205247,684.754319288752,-0.08717115210595253
0.08,0.1,2.2636158318608193E9,-3.523872951291897E8,776833.9891585085,-3.5063373768770534E8,0.08929096475367519,1800,6,60,-118.41516754051007,706.4586222156804,-0.08928080406548485
0.08,0.12,2.3961390239628153E9,-3.7554338852535594E8,-7862339.880781432,-3.8241080769150996E8,0.0901482289491211,1800,6,60,-123.86700973141126,726.8442761037866,-0.09071516363810175
0.08,0.14,2.515573613063406E9,-3.966903515869181E8,-1.8649341448584653E7,-4.1432841601619333E8,0.0907354121092417,1800,6,60,-129.43403716439911,744.7386340891397,-0.0924020724899313
0.08,0.16,2.6092115058159347E9,-4.13701850581386E8,-3.1948168938669417E7,-4.4462614000304484E8,0.09089498147855461,1800,6,60,-134.9530525361131,758.4728002796171,-0.09241156431000506
0.12,0,1.101621265945212E9,-1.5798588105956632E8,-4223657.640490805,-1.6135758217332155E8,0.07442649368935701,1800,6,60,-124.48954695115242,492.8349787788227,-0.03612007688224512
0.12,0.02,1.160218334703294E9,-1.6819578346434474E8,-1.1355203894481812E7,-1.7868422351257518E8,0.07442370202305815,1800,6,60,-130.21541712187175,505.7725217442006,-0.03830303345681714
0.12,0.04,1.208079426658247E9,-1.7686244172127864E8,-2.018697905264781E7,-1.9617163727334848E8,0.07410124032980721,1800,6,60,-135.92287987147157,516.0991132046496,-0.0404921799524963
0.12,0.06,1.2372253489945483E9,-1.8271950880198887E8,-3.0926393073148917E7,-2.1276376703250554E8,0.07330569496700272,1800,6,60,-141.34809228410023,522.2876701109186,-0.0410489907359468
0.12,0.08,1.237062379715319E9,-1.840835387795109E8,-4.362830594174697E7,-2.2683657164943388E8,0.07182783954128406,1800,6,60,-146.0637855166473,522.2532706985294,-0.04194489353441785
0.12,0.1,1.1947680208767774E9,-1.7892325220578295E8,-5.800307635806207E7,-2.3607608683871028E8,0.06938450753251643,1800,6,60,-149.3951086190581,513.2478792131806,-0.04179396964364543
0.12,0.12,1.0971492627574039E9,-1.6516272314777958E8,-7.310307556933835E7,-2.3746878470924458E8,0.06560878861329977,1800,6,60,-150.30630203297628,491.833636054999,-0.0473616532344675
0.12,0.14,9.350126509731183E8,-1.4137542438328233E8,-8.687952434056482E7,-2.2755214703216705E8,0.06005315825247374,1800,6,60,-147.2554242281726,454.0399969973921,-0.06022976465139924
0.12,0.16,7.107391425577074E8,-1.0794070914353268E8,-9.57145499851165E7,-2.0309942445479134E8,0.05222209420737631,1800,6,60,-138.04893578413893,395.85896571709213,-0.08183183209921013
0.16,0,7.120861274639566E8,-9.70536920517158E7,-2.2757736519747045E7,-1.1904128172502267E8,0.06545191939973098,1800,6,60,-141.59577369541367,396.2339019076063,-0.018139651480787694
0.16,0.02,7.141313611676097E8,-9.850062612272952E7,-3.2288086747564152E7,-1.3002565522242106E8,0.06387363893861124,1800,6,60,-146.4442995595641,396.8025198281083,-0.023556772444701397
