% Model,Evan_continuous_faraday_v7.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 4 2021, 11:23"
% Table,Probe Table 1 - 
% L (m),beta_e (1),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity (m/s), Point: (0, 0, 0)","applied magnetic field (T) (T), Point: (0, 0, 0)","plasma conductivity (S/m) (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.055,0.45,0.4,-9.121999596199933E8,0.3321216132762749,5.794860878595664E9,-3914194.304587739,-9.157097762720522E8,1800,6,60,-120.20830210726952,3574.3698173779812,0.2261952006889265
0.055,0.45,0.5,-9.539990027050744E8,0.3406799714329657,6.102739558136034E9,-1.1043672410002314E7,-9.646398350751582E8,1800,6,60,-122.45627377310399,3668.0934831082714,0.21308961624757095
0.06,0.16,0,-1.5931591268025093E9,0.42435485894112907,9.468458105219675E9,3.0588025220096298E7,-1.5619720601817243E9,1800,6,60,-97.61196368426485,4568.962653236145,0.528215631377113
0.06,0.16,0.1,-1.786467600315149E9,0.447978300971414,1.0574288103246183E10,2.927777081720542E7,-1.756619653122841E9,1800,6,60,-104.89560744848066,4828.403395026311,0.5157053770122286
0.06,0.16,0.2,-2.015283324196461E9,0.4743723577668849,1.1876850769656956E10,2.7155379265261788E7,-1.98759153023168E9,1800,6,60,-113.44133461137332,5117.155647579968,0.4988934225069062
0.06,0.16,0.30000000000000004,-2.2880505412751837E9,0.503989310121679,1.3420377008954052E10,2.3808059760183506E7,-2.2637450890082912E9,1800,6,60,-123.67344847326041,5439.516962009907,0.47700518172946305
0.06,0.16,0.4,-2.615182474505967E9,0.5371926487209033,1.5257457527882975E10,1.853528085166539E7,-2.596194145784852E9,1800,6,60,-136.2663306412694,5799.88072068586,0.44773628777615576
0.06,0.16,0.5,-3.0086795450108333E9,0.5742881939326493,1.7444216649363743E10,1.0046841338235151E7,-2.9982286949663625E9,1800,6,60,-152.38692922439552,6201.599457981736,0.4089656905434105
0.06,0.45,0,-1.338486340055975E9,0.3924552155849338,8.038782918198389E9,-3841355.2586657666,-1.3415936163708162E9,1800,6,60,-267.6429150683658,4209.91306471141,0.5110189271951763
0.06,0.45,0.1,-1.4589860591591516E9,0.4087167005707594,8.7396527719828E9,-1.2820176406830778E7,-1.4710766860652812E9,1800,6,60,-286.55011919971696,4389.601204695738,0.4932956820815114
0.06,0.45,0.2,-1.5877760612194495E9,0.4254551684452677,9.486879867227205E9,-2.5114618577700876E7,-1.6121647513647382E9,1800,6,60,-308.6484570487102,4573.405163420137,0.47022944573899134
0.06,0.45,0.30000000000000004,-1.7207201753445768E9,0.4420620768464032,1.0255398866195852E10,-4.228286882349213E7,-1.7622786960219567E9,1800,6,60,-334.98707208021693,4755.040882988331,0.4401600838618572
0.06,0.45,0.4,-1.848942460895889E9,0.45742857135650694,1.099134789996792E10,-6.688714549343025E7,-1.9151033041499238E9,1800,6,60,-367.20157847066565,4922.700959824022,0.40136285866685645
0.06,0.45,0.5,-1.9549172511647274E9,0.4695208422829583,1.1587046692982101E10,-1.033923733544779E8,-2.0575764805924747E9,1800,6,60,-408.01135903095576,5054.338866869098,0.3515676562085867
0.065,0.16,0,-1.6359352385815845E9,0.4278500236318549,9.634616438713734E9,2.7740476545946937E7,-1.607681510303571E9,1800,6,60,-118.01142557382497,4608.877786027488,0.5381770655614019
0.065,0.16,0.1,-1.834863369941992E9,0.4516567580376541,1.0756460340007341E10,2.6049066913187906E7,-1.8083228293381748E9,1800,6,60,-126.8575986560369,4869.817290409823,0.5244321439458869
0.065,0.16,0.2,-2.0706651432936556E9,0.4782631777489857,1.2077441734105612E10,2.3419295076991145E7,-2.046780679836036E9,1800,6,60,-137.33201983364347,5160.187146857956,0.5069120454656499
0.065,0.16,0.30000000000000004,-2.3523282620584483E9,0.5080855675029088,1.3642289836128984E10,1.9369353559379935E7,-2.3325250049028525E9,1800,6,60,-150.00624485640202,5484.305175507303,0.48216444374542755
