% Model,Evan_segmented_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 19 2020, 12:23"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z",chan_len/el_len (1),ins_seg_len/el_len (1)
0.28,0.02,7.137699893282557E9,-2.052312780088307E8,4226230.275393547,840696.5095903696,-2.0016435122384557E8,0.15111145767299686,1800,6,60,-1.70964910511237,1631.1153726812915,0.35582877060192836,5.5,0.5
0.28,0.03,6.114593547702208E9,-1.759668949839701E8,3626384.90086734,867405.7430446553,-1.7147310434005895E8,0.14007026237577397,1800,6,60,-1.895243770132795,1511.623662346944,0.39996100031686466,5.5,0.5
0.28,0.04,5.000848037147892E9,-1.440958161941146E8,2956154.2881563897,899618.8929936793,-1.402400430129645E8,0.1269764194988292,1800,6,60,-2.1203467032990178,1369.7381134785128,0.4498855656392602,5.5,0.5
0.28,0.05,3.839833540975571E9,-1.1083634052801387E8,2214982.799720973,939908.5994627216,-1.0768144912883101E8,0.11171606279621057,1800,6,60,-2.399055353021367,1203.8923174399931,0.5029774989181278,5.5,0.5
0.32,0,6.236892573334003E9,-1.7985749874523163E8,4175042.1847910495,779623.1930512134,-1.7490283336738944E8,0.1418321832551923,1800,6,60,-1.5245916710717617,1530.5186656200624,0.28840724775988225,5.5,0.5
0.32,0.01,5.479431762584761E9,-1.581302363477742E8,3673036.9240103476,796065.363642236,-1.5366113406012258E8,0.1330964537026661,1800,6,60,-1.6766002994130123,1435.999700003944,0.3232597504866863,5.5,0.5
0.32,0.02,4.634064291012995E9,-1.3387974896619903E8,3110442.3984775366,814986.1818286607,-1.2995432038589123E8,0.12263072507432311,1800,6,60,-1.8577188209282747,1322.6679331391535,0.36702298985256865,5.5,0.5
0.32,0.03,3.7270111800482364E9,-1.078428211472467E8,2487863.2208059765,837415.1959893554,-1.0451754273045215E8,0.11031742802375312,1800,6,60,-2.077167382321929,1189.0508040818331,0.4140074509666405,5.5,0.5
0.32,0.04,2.7976164840515394E9,-8.112709338066107E7,1807426.0245008876,865376.4150207356,-7.845429094113891E7,0.09609511231037701,1800,6,60,-2.348893971114869,1034.0244384617467,0.46350203314847327,5.5,0.5
0.32,0.05,1.899024683518647E9,-5.522968980063221E7,1071918.679340942,902991.8563820157,-5.325477926491021E7,0.08001561279710219,1800,6,60,-2.6954148878111552,856.9546592219801,0.5085616377398468,5.5,0.5
0.36,0,4.478841166270947E9,-1.2969677817441168E8,3344803.3477722313,750691.235061244,-1.256012835915779E8,0.12094220231796565,1800,6,60,-1.603102415006557,1304.0254019539966,0.2869507487679153,5.5,0.5
0.36,0.01,3.7849043591363573E9,-1.0973415798508607E8,2830352.999526031,762768.0742088286,-1.0614103691135058E8,0.11141171264022137,1800,6,60,-1.7720406836115234,1200.786133682109,0.3256205589141172,5.5,0.5
0.36,0.02,3.042012112946646E9,-8.834855757571305E7,2264067.4672767785,776557.2165163087,-8.530793289191872E7,0.10022562680440812,1800,6,60,-1.975652804452597,1079.31533011899,0.37049652997427296,5.5,0.5
0.36,0.03,2.2827897225919995E9,-6.645986762798422E7,1649638.4238582556,793384.8893145804,-6.401684431481058E7,0.08734468238413097,1800,6,60,-2.2263335504437904,938.7205922314208,0.4181488049775426,5.5,0.5
0.36,0.04,1.5506856995772986E9,-4.529442807992568E7,991974.6356643827,816143.1423776973,-4.348631030188374E7,0.07283846467412833,1800,6,60,-2.5440623816908947,778.571218886196,0.46407614655494256,5.5,0.5
0.36,0.05,8.986839621022503E8,-2.6349258024651814E7,295919.0770758079,851338.6204021274,-2.520200032717402E7,0.05694250612490961,1800,6,60,-2.9640845372533082,598.9533714924875,0.4915488845254204,5.5,0.5
0.4,0,3.2691357259137554E9,-9.50833163784043E7,2689961.0788599495,716111.4764882191,-9.167724382305591E7,0.10404645273478315,1800,6,60,-1.6618769207174635,1120.486206822214,0.2838746526591816,5.5,0.5
0.4,0.01,2.655570029706056E9,-7.737397643883123E7,2179873.969861853,723266.6839621457,-7.447083578500645E7,0.09409726489679628,1800,6,60,-1.8450983952758706,1012.4560342216926,0.32561295892047076,5.5,0.5
0.4,0.02,2.0235188098682153E9,-5.9105385516217865E7,1627947.1552817344,731445.4374466201,-5.6745992923489176E7,0.08262269677305105,1800,6,60,-2.0685123470950924,887.2505776775896,0.3687847278571962,5.5,0.5
0.4,0.03,1.4074767287277114E9,-4.125281692669868E7,1040208.2053251009,742378.3162022425,-3.947023040517129E7,0.06967591692491103,1800,6,60,-2.348384681452114,744.4858256238068,0.4153362892821924,5.5,0.5
0.4,0.04,8.497728671002386E8,-2.501409235483666E7,423551.7440394891,760132.620823441,-2.38304079899739E7,0.05545163623220435,1800,6,60,-2.712745692541715,584.2573268357132,0.4499861235605536,5.5,0.5
0.4,0.05,3.9791314350013757E8,-1.1738354810121719E7,-215503.4342163276,795069.9579775054,-1.1158788286360506E7,0.0403200026505992,1800,6,60,-3.216597140521567,406.9951472063454,0.452643894680413,5.5,0.5
0.44000000000000006,0,2.42554048907653E9,-7.087226795831431E7,2173246.460690026,678938.8462995241,-6.802008265132464E7,0.09032900179973459,1800,6,60,-1.7047355052440398,970.9612889181766,0.281310091035355,5.5,0.5
